분류,주성분코드,제품수,업체수,예시제품,주성분명
113,147702ATR,2,2,디발프로서방정500밀리그램(디발프로엑스나트륨)_(0.5381g/1정),divalproex sodium (as divalproex)
113,147801ACH,1,1,데파코트스프링클캅셀(디발프로엑스나트륨입자)_(0.2263g/1캡슐),divalproex sodium particle (as divalproex)
113,155901ACS,1,1,자론티연질캡슐(에토숙시미드)_(0.25g/1캡슐),ethosuximide
113,164201ACH,53,53,뉴로카바캡슐100밀리그램(가바펜틴)_(0.1g/1캡슐),gabapentin
113,164202ACH,63,63,가바피나캡슐(가바펜틴)_(0.3g/1캡슐),gabapentin
113,164203ACH,4,4,동아가바펜틴캡슐400밀리그램(가바펜틴)_(0.4g/1캡슐),gabapentin
113,164204ATB,5,5,동아가바펜틴정600밀리그램(가바펜틴)_(0.6g/1정),gabapentin
113,164205ATB,4,4,동아가바펜틴정800밀리그램(가바펜틴)_(0.8g/1정),gabapentin
113,181001ATB,7,7,라모진정100밀리그람(라모트리진)_(0.1g/1정),lamotrigine
113,181002ATB,6,6,라비시틴정25밀리그램(라모트리진)_(25mg/1정),lamotrigine
113,181003ATB,7,7,라모스탈정50밀리그램(라모트리진)_(50mg/1정),lamotrigine
113,181004ATB,1,1,라믹탈츄어블정5밀리그램(라모트리진)_(5mg/1정),lamotrigine
113,206301ATB,3,3,옥사제핀정300mg(옥스카르바제핀)_(0.3g/1정),oxcarbazepine
113,206302ATB,2,2,옥사제핀정600mg(옥스카르바제핀)_(0.6g/1정),oxcarbazepine
113,206303ATB,2,2,옥사제핀정150mg(옥스카르바제핀)_(0.15g/1정),oxcarbazepine
113,206330ASS,1,1,트리렙탈현탁액6%(옥스카르바제핀)_(6g/100mL),oxcarbazepine
113,217801ATB,1,1,대웅프리미돈정_(0.25g/1정),primidone
113,229701ATR,1,1,오르필서방정150밀리그램(발프로산나트륨)_(0.15g/1정),sodium valproate
113,229703ATB,1,1,에필람정(발프로산나트륨)_(0.2g/1정),sodium valproate
113,229704BIJ,2,2,올트릴주(발프로산나트륨)(수출명:뉴올트릴주(발프론산나트륨))_(0.4g/1병),sodium valproate
113,229705ATR,3,3,바렙톨서방정(발프로산나트륨)_(0.3g/1정),sodium valproate
113,229706ATR,1,1,"데파킨크로노정500밀리그램_(발프로산나트륨, 0.5g/1정)",sodium valproate
113,229707ATR,1,1,오르필서방정600밀리그램(발프로산나트륨)_(0.6g/1정),sodium valproate
113,229730BIJ,1,1,오르필주사액(발프로산나트륨)_(0.15g/1.5mL),sodium valproate
113,229731BIJ,1,1,오르필주사액(발프로산나트륨)_(0.3g/3mL),sodium valproate
113,229734ASY,1,1,오르필시럽(발프로산나트륨)_(9g/150mL),sodium valproate
113,241801ACR,1,1,큐덱시서방캡슐100밀리그램(토피라메이트)_(0.1g/1캡슐),topiramate
113,241801ATB,20,20,피트메이트정100밀리그램(토피라메이트)_(0.1g/1정),topiramate
113,241802ACR,1,1,큐덱시서방캡슐200밀리그램(토피라메이트)_(0.2g/1캡슐),topiramate
113,241803ACH,1,1,토파맥스스프링클캡슐25밀리그램(토피라메이트)_(25mg/1캡슐),topiramate
113,241803ACR,1,1,큐덱시서방캡슐25밀리그램(토피라메이트)_(25mg/1캡슐),topiramate
113,241803ATB,22,22,토피리드정25밀리그램(토피라메이트)_(25mg/1정),topiramate
113,241804ACH,1,1,토파맥스스프링클캡슐50밀리그램(토피라메이트)_(50mg/1캡슐),topiramate
113,241804ACR,1,1,큐덱시서방캡슐50밀리그램(토피라메이트)_(50mg/1캡슐),topiramate
113,241804ATB,1,1,토피론정50밀리그램(토피라메이트)_(50mg/1정),topiramate
113,246901ATE,1,1,프로막정500밀리그람(발프로산마그네슘)_(0.5g/1정),valproate magnesium
113,246902ATE,1,1,프로막정200밀리그람(발프로산마그네슘)_(0.2g/1정),valproate magnesium
113,246903ATE,1,1,프로막정300밀리그램(발프로산마그네슘)_(0.3g/1정),valproate magnesium
113,247701ATB,1,1,사브릴정500밀리그람(비가바트린)_(0.5g/1정),vigabatrin
113,250601ATB,1,1,엑세그란정(조니사미드)_(0.1g/1정),zonisamide
113,483701ATB,1,1,세나진정,tetrabenazine
113,488501ATB,17,17,케피람정500밀리그램(레비티라세탐)_(0.5g/1정),levetiracetam
113,488501ATR,4,4,에필라탐서방정500밀리그램(레비티라세탐)_(0.5g/1정),levetiracetam
113,488501BIJ,2,2,큐팜주사500밀리그램(레비티라세탐)_(0.5g/5mL),levetiracetam
113,488502ATB,16,16,케피람정250밀리그램(레비티라세탐)_(0.25g/1정),levetiracetam
113,488503ATB,17,17,케피람정1000밀리그램(레비티라세탐)_(1g/1정),levetiracetam
113,488505ATB,3,3,큐팜정750밀리그램(레비티라세탐)_(0.75g/1정),levetiracetam
113,488505ATR,4,4,에필라탐서방정750밀리그램(레비티라세탐)_(0.75g/1정),levetiracetam
113,488530ALQ,1,1,케프라액(레비티라세탐)_(15g/150mL),levetiracetam
113,488534BIJ,1,1,케라탐주사100mg/mL(레비티라세탐)_(1g/10mL),levetiracetam
113,488536ALQ,1,1,큐팜액(레비티라세탐)_(25g/250mL),levetiracetam
113,488537ALQ,1,1,큐팜액(레비티라세탐)_(10g/100mL),levetiracetam
113,509101ACH,1,1,디아코미트,stiripentol
113,509330BIJ,1,1,쎄레빅스주사(포스페니토인나트륨)_(0.15g/2mL),fosphenytoin sodium
113,509331BIJ,1,1,쎄레빅스주사(포스페니토인나트륨)_(0.75g/10mL),fosphenytoin sodium
113,509401ATB,1,1,이노베론필름코팅정100mg (루피나미드)_(0.1g/1정),rufinamide
113,509402ATB,1,1,이노베론필름코팅정200mg (루피나미드)_(0.2g/1정),rufinamide
113,509403ATB,1,1,이노베론필름코팅정400mg (루피나미드)_(0.4g/1정),rufinamide
113,611702ATB,5,5,네오팻정50밀리그램(라코사미드)_(50mg/1정),Lacosamide
113,611703ATB,5,5,네오팻정100밀리그램(라코사미드)_(0.1g/1정),Lacosamide
113,611704ATB,3,3,라코정150mg(라코사미드)_(0.15g/1정),Lacosamide
113,611705ATB,3,3,라코정200mg(라코사미드)_(0.2g/1정),Lacosamide
113,642401ATB,3,3,페리콤파정2밀리그램(페람파넬(미분화))_(2mg/1정),perampanel (as perampanel anhydrate)
113,642402ATB,3,3,페리콤파정4밀리그램(페람파넬(미분화))_(4mg/1정),perampanel (as perampanel anhydrate)
113,642403ATB,3,3,페리콤파정6밀리그램(페람파넬(미분화))_(6mg/1정),perampanel (as perampanel anhydrate)
113,642404ATB,3,3,페리콤파정8밀리그램(페람파넬(미분화))_(8mg/1정),perampanel (as perampanel anhydrate)
113,642405ATB,3,3,페리콤파정10밀리그램(페람파넬(미분화))_(10mg/1정),perampanel (as perampanel anhydrate)
113,642406ATB,3,3,페리콤파정12밀리그램(페람파넬(미분화))_(12mg/1정),perampanel (as perampanel anhydrate)
113,642407ASS,1,1,파이콤파현탁액0.5mg/mL(페람파넬)_(0.1768g/340mL),perampanel (as perampanel anhydrate)
113,692701ALQ,1,1,에피디올렉스내복액_(10g/100mL),cannabidiol
113,700901ATB,1,1,제비닉스정200밀리그램(에슬리카르바제핀아세테이트(미분화))_(0.2g/1정),eslicarbazepine acetate
113,700902ATB,1,1,제비닉스정800밀리그램(에슬리카르바제핀아세테이트(미분화))_(0.8g/1정),eslicarbazepine acetate
114,100901ACH,1,1,에이서캡슐(아세클로페낙)_(0.1g/1캡슐),aceclofenac
114,100901ACS,1,1,클란자에스연질캡슐(아세클로페낙)(수출명:SpeenacSoftCaps.)_(0.1g/1캡슐),aceclofenac
114,100901ATB,119,119,"에이서정(아세클로페낙)(수출명: SEONAC, BEEOCURACIN)_(0.1g/1정)",aceclofenac
114,100903ATR,26,26,아셀로CR서방정200밀리그램(아세클로페낙)_(0.2g/1정),aceclofenac
114,101303ATB,1,1,삼남아세트아미노펜정_(0.3g/1정),acetaminophen
114,101305ATB,5,5,알파아세트아미노펜정500밀리그람_(0.5g/1정),acetaminophen
114,101330ASS,2,2,세토펜현탁액(아세트아미노펜)_(16g/500mL),acetaminophen
114,101332ASY,1,1,세토펜건조시럽(아세트아미노펜)_(120g/300g),acetaminophen
114,101401ATB,3,3,세토펜정(아세트아미노펜)_(0.16g/1정),acetaminophen(encapsulated)
114,101404ATB,10,10,루트펜325밀리그램정(아세트아미노펜)_(0.325g/1정),acetaminophen(encapsulated)
114,101404ATR,1,1,타세놀8시간이알서방정325밀리그램(아세트아미노펜)_(0.325g/1정),acetaminophen(encapsulated)
114,101406ATB,1,1,세토펜정80밀리그램(아세트아미노펜)_(80mg/1정),acetaminophen(encapsulated)
114,101430ATR,18,18,타이레펜8시간이알서방정650밀리그램(아세트아미노펜)_(0.65g/1정),acetaminophen(encapsulated)
114,110702ATB,1,1,바이엘아스피린정500밀리그람_(0.5g/1정),aspirin
114,121130BIJ,1,1,부토판주사1밀리그람/밀리리터(부토르파놀타르타르산염)_(1mg/1mL),butorphanol tartrate
114,121131BIJ,1,1,부토판주사2밀리그람/밀리리터(부토르파놀타르타르산염)_(2mg/1mL),butorphanol tartrate
114,142301ACS,4,4,"이지엔6프로연질캡슐(덱시부프로펜)(수출명:DAUFENSoftCapsule,SPEEDFEN)_(0.3g/1캡슐)",dexibuprofen
114,142301ATB,28,28,데코라펜정(덱시부프로펜)_(0.3g/1정),dexibuprofen
114,142301ATR,1,1,맥시부펜이알정300밀리그램(덱시부프로펜)_(0.3g/1정),dexibuprofen
114,142302ATB,1,1,애니펜정150밀리그람(덱시부프로펜)_(0.15g/1정),dexibuprofen
114,142303ATB,15,15,덱타론정400mg(덱시부프로펜)_(0.4g/1정),dexibuprofen
114,142331ASY,5,5,코키즈펜시럽(덱시부프로펜)_(0.6g/50mL),dexibuprofen
114,142332ASY,1,1,맥시부펜시럽(덱시부프로펜)_(0.9g/75mL),dexibuprofen
114,142334ASY,18,18,덱시부시럽(덱시부프로펜)_(6g/500mL),dexibuprofen
114,143504ATB,3,3,디낙스정(디클로페낙나트륨)_(25mg/1정),diclofenac sodium
114,143506ATB,2,2,디낙스정50밀리그램 (디클로페낙나트륨)_(50mg/1정),diclofenac sodium
114,143535BIJ,21,21,디페인주사(디클로페낙나트륨)_(75mg/2mL),diclofenac sodium
114,143631BIJ,22,22,페나카주사2ml(디클로페낙β-디메틸아미노에탄올)_(90mg/2mL),diclofenac-β-dimethyl-aminoethanol
114,156602ACH,1,1,에토딘캡슐(에토돌락)_(0.2g/1캡슐),etodolac
114,156602ATB,1,1,건일로딘정200밀리그램(미분화에토돌락)_(0.2g/1정),etodolac
114,156603ATB,1,1,토세락정400밀리그램(미분화에토돌락)_(0.4g/1정),etodolac
114,156603ATR,1,1,로딘엑스엘정400밀리그램(미분화에토돌락)_(0.4g/1정),etodolac
114,156604ATR,1,1,건일로딘서방정600밀리그램(미분화에토돌락)_(0.6g/1정),etodolac
114,171530BIJ,1,1,타루펜주(히드록소코발라민)_(2.5mg/1mL),hydroxocobalamin
114,171531BIJ,1,1,라노빈주사액(히드록소코발라민)(수출명: HYCODON Injection)_(5mg/2mL),hydroxocobalamin
114,172802ACS,1,1,이지엔6애니연질캡슐(이부프로펜)_(0.2g/1캡슐),ibuprofen
114,172802ATB,4,4,스로펜정(이부프로펜) 수출명:Korus Ibuprofen Tab._(0.2g/1정),ibuprofen
114,172806ATB,10,10,나르펜정400밀리그램(이부프로펜)(수출명:PANALTab.)_(0.4g/1정),ibuprofen
114,172807ATR,1,1,디퓨탭서방정(이부프로펜)_(0.6g/1정),ibuprofen
114,172833ASY,1,1,어린이부루펜시럽(이부프로펜)_(1.6g/80mL),ibuprofen
114,172834ASY,2,2,캐롤시럽(이부프로펜)_(1.8g/90mL),ibuprofen
114,172835ASY,1,1,대웅이부펜시럽(이부프로펜)(수출명:SOTSTOPsyrup)_(2g/100mL),ibuprofen
114,172836ASY,5,5,이부서스펜시럽(이부프로펜)_(10g/500mL),ibuprofen
114,172837ASY,3,3,어린이알리펜시럽(이부프로펜)(수출명:이부돌시럽)_(20g/1000mL),ibuprofen
114,172838ASY,1,1,이브듀오시럽(이부프로펜)_(20g/500mL),ibuprofen
114,179731BIJ,2,2,부광케토프로펜주100밀리그램_(0.1g/2mL),ketoprofen
114,180001ATB,1,1,케토라신정(케토롤락트로메타민)_(10mg/1정),ketorolac tromethamine
114,180033BIJ,10,10,케토란주(케토롤락트로메타민)_(30mg/1mL),ketorolac tromethamine
114,186101ATB,119,119,록소팬정(록소프로펜나트륨수화물)_(68.1mg/1정),loxoprofen sodium hydrate (as loxoprofen sodium)
114,186102ATR,1,1,록스펜씨알정(록소프로펜나트륨)_(90mg/1정),loxoprofen sodium hydrate (as loxoprofen sodium)
114,189701ACH,85,85,아록시캄캡슐7.5밀리그램(멜록시캄)_(7.5mg/1캡슐),meloxicam
114,189701ATB,1,1,멜브렉스정7.5밀리그람(멜록시캄)_(7.5mg/1정),meloxicam
114,189701ATD,1,1,멜로디구강붕해정7.5밀리그램(멜로시캄)_(7.5mg/1정),meloxicam
114,189702ACH,15,15,메로콕스캡슐15밀리그램(멜록시캄)_(15mg/1캡슐),meloxicam
114,189702ATD,1,1,멜로디구강붕해정15밀리그램(멜로시캄)_(15mg/1정),meloxicam
114,192132BIJ,1,1,메토젝트주50mg/mL(메토트렉세이트)_(10mg/0.2mL),methotrexate
114,192134BIJ,1,1,메토젝트주50mg/mL(메토트렉세이트)_(15mg/0.3mL),methotrexate
114,192136BIJ,1,1,메토젝트주50mg/mL(메토트렉세이트)_(20mg/0.4mL),methotrexate
114,192144BIJ,1,1,메토젝트주50mg/mL(메토트렉세이트)_(25mg/0.5mL),methotrexate
114,198102ATB,13,13,세나톤정(나부메톤)_(0.5g/1정),nabumetone
114,198930BIJ,2,2,날페인주사10밀리그램(날부핀염산염)_(10mg/1mL),nalbuphine hydrochloride
114,199401ATR,1,1,낙센에프서방정1000밀리그램(나프록센)_(1g/1정),naproxen
114,199404ATB,1,1,낙센에프정(나프록센)_(0.5g/1정),naproxen
114,199501ATB,15,15,알삭센정(나프록센나트륨)_(0.275g/1정),naproxen sodium
114,201801ATB,2,2,메수리드정(니메술리드)_(0.1g/1정),nimesulide
114,214001ACH,1,1,지엘피록시캄캡슐10밀리그램_(10mg/1캡슐),piroxicam
114,214001ATB,1,1,필로젠정10밀리그람(피록시캄)_(10mg/1정),piroxicam
114,214004ACH,1,1,지엘피록시캄캡슐20밀리그램_(20mg/1캡슐),piroxicam
114,214004ATB,1,1,필로젠정(피록시캄)_(20mg/1정),piroxicam
114,214031BIJ,7,7,"휴온스피록시캄근육주사(수출명:CAMADOLinj.,CAMROX20mgInj.)_(20mg/1mL)",piroxicam
114,214130BIJ,2,2,피로브이주(피록시캄칼륨)_(22.3mg/1mL),piroxicam potassium (as piroxicam)
114,214202ATB,1,1,코오롱브렉신정10밀리그램(피록시캄베타사이클로덱스트린)_(95.6mg/1정),piroxicam β-cyclodextrin (as piroxicam)
114,218602ATB,1,1,한올아푸록산정300밀리그램(프로글루메타신말레산염)_(0.3g/1정),proglumetacin maleate
114,219401BIJ,2,2,파세타주(프로파세타몰염산염)_(1g/1병),propacetamol hydrochloride
114,233802ATB,5,5,마이그란정50밀리그램(수마트립탄숙신산염)_(70mg/1정),sumatriptan succinate (as sumatriptan)
114,233803ATB,2,2,수마트란정25밀리그람(호박산수마트립탄)_(35mg/1정),sumatriptan succinate (as sumatriptan)
114,234401ATB,25,25,타프로스정(탈니플루메이트)_(0.37g/1정),talniflumate
114,242301ATR,1,1,트리돌서방정(트라마돌염산염)_(0.1g/1정),tramadol hydrochloride
114,242302ATR,1,1,지트람엑스엘서방정150밀리그람(트라마돌염산염)_(0.15g/1정),tramadol hydrochloride
114,242304ATR,1,1,지트람엑스엘서방정200밀리그람(트라마돌염산염)_(0.2g/1정),tramadol hydrochloride
114,242305ACH,2,2,트리돌캡슐(트라마돌염산염)_(50mg/1캡슐),tramadol hydrochloride
114,242305ATB,1,1,트리돌솔루블정50mg(트라마돌염산염)_(50mg/1정),tramadol hydrochloride
114,242308ATR,1,1,지트람씨알서방정75밀리그램(트라마돌염산염)_(75mg/1정),tramadol hydrochloride
114,242330BIJ,22,22,마리트롤주(트라마돌염산염)_(50mg/1mL),tramadol hydrochloride
114,242331BIJ,5,5,도란찐주100밀리그람(트라마돌염산염)_(0.1g/2mL),tramadol hydrochloride
114,249901ATB,15,15,유러펜정(잘토프로펜)_(80mg/1정),zaltoprofen
114,251800ATB,1,1,크래밍정(수출명:MigralTab.)_(1정),caffeine anhydrous
114,251800ATB,1,1,크래밍정(수출명:MigralTab.)_(1정),ergotamine tartrate
114,347701ACH,114,114,세렉실캡슐(세레콕시브)_(0.2g/1캡슐),celecoxib
114,347701ATB,6,6,쎄레원정200밀리그램(세레콕시브)_(0.2g/1정),celecoxib
114,347702ACH,48,48,유니브렉스캡슐100밀리그램(세레콕시브)_(0.1g/1캡슐),celecoxib
114,347702ATB,3,3,랙시브정100밀리그램(세레콕시브)_(0.1g/1정),celecoxib
114,347703ACH,3,3,쎄넥스캡슐400밀리그램(세레콕시브)_(0.4g/1캡슐),celecoxib
114,348201ATB,1,1,종근당리마틸정(부시라민)_(0.1g/1정),bucillamine
114,415501ATB,1,1,나라믹정2.5밀리그램(나라트립탄염산염)_(2.78mg/1정),naratriptan hydrochloride (as naratriptan)
114,415501ATD,5,5,나라두구강붕해정2.5밀리그램(나라트립탄염산염)_(2.78mg/1정),naratriptan hydrochloride (as naratriptan)
114,415601ATB,1,1,조믹정2.5밀리그램(졸미트립탄)_(2.5mg/1정),zolmitriptan
114,416601ATB,1,1,조인스정200밀리그램(위령선·괄루근·하고초30%에탄올엑스(40→1))(수출명:카라스론)_(0.2g/1정),"위령선, 괄루근, 하고초 30% ethanol ext."
114,454330BIJ,1,1,케랄주(덱스케토프로펜트로메타몰)_(73.8mg/2mL),dexketoprofen trometamol (as dexketoprofen)
114,458402ATB,13,13,모니마겐정350밀리그램(모니플루메이트)_(0.35g/1정),morniflumate
114,480600ATB,105,105,비엘셋세미정_(1정),acetaminophen
114,480600ATB,105,105,비엘셋세미정_(1정),tramadol hydrochloride
114,493401ATB,3,3,펠프스정(펠루비프로펜)_(30mg/1정),pelubiprofen
114,493402ATR,1,1,펠루비서방정(펠루비프로펜)_(45mg/1정),pelubiprofen
114,499401ATB,1,1,알모그란정(알모트립탄말산염)_(17.5mg/1정),almotriptan maleate (as almotriptan)
114,509501ATB,1,1,미가드정2.5mg(프로바트립탄숙신산염일수화물)_(3.91mg/1정),frovatriptan succinate monohydrate (as frovatriptan)
114,513000ATB,115,115,비엘셋정_(1정),acetaminophen
114,513000ATB,115,115,비엘셋정_(1정),tramadol hydrochloride
114,513000ATR,29,29,하이콘티세미서방정_(1정),acetaminophen
114,513000ATR,29,29,하이콘티세미서방정_(1정),tramadol hydrochloride
114,514100ATR,26,26,하이콘티서방정_(1정),acetaminophen
114,514100ATR,26,26,하이콘티서방정_(1정),tramadol hydrochloride
114,516701ATB,1,1,"신바로정_(자오가·우슬·방풍·두충·구척·흑두건조엑스(20→1), 0.3g/1정)",자오가·우슬·방풍·두충·구척·흑두 dried ext.(20→1)
114,518000ATB,6,6,낙센에스정500/20밀리그램_(1정),esomeprazole magnesium (as esomeprazol)
114,518000ATB,6,6,낙센에스정500/20밀리그램_(1정),naproxen
114,523500ATB,1,1,낙소졸정500/20밀리그램_(1정),esomeprazole strontium tetrahydrate (as esomeprazol)
114,523500ATB,1,1,낙소졸정500/20밀리그램_(1정),naproxen
114,527400ATB,4,4,나프메드정500/20밀리그램_(1정),esomeprazole
114,527400ATB,4,4,나프메드정500/20밀리그램_(1정),naproxen
114,618201ATB,23,23,"레일론정_(당귀·목과·방풍·속단·오가피·우슬·위령선·육계·진교·천궁·천마·홍화25%에탄올연조엑스(3.5→1), 0.4054g/1정)",당귀·목과·방풍·속단·오가피·우슬·위령선·육계·진교·천궁·천마·홍화 25% ethanol soft ext.(3.5→1)
114,636401ACH,9,9,폴렉스캡슐2밀리그램(폴마콕시브)_(2mg/1캡슐),polmacoxib
114,636401ATB,1,1,아셀렉스정2밀리그램(폴마콕시브)_(2mg/1정),polmacoxib
114,636901ATB,8,8,뉴콕시아정30밀리그램(에토리콕시브)_(30mg/1정),etoricoxib 
114,697701ATB,1,1,펠루비에스정(펠루비프로펜트로메타민)_(36.73mg/1정),pelubiprofen tromethamine (as pelubiprofen)
114,713200ATR,6,6,아세리손정_(1정),aceclofenac
114,713200ATR,6,6,아세리손정_(1정),eperisone hydrochloride
114,724600ATB,20,20,아스본플러스정_(1정),celecoxib
114,724600ATB,20,20,아스본플러스정_(1정),당귀·목과·방풍·속단·오가피·우슬·위령선·육계·진교·천궁·천마·홍화 25% ethanol soft ext.(3.5→1)
114,725300ATB,1,1,수벡스정_(1정),naproxen sodium
114,725300ATB,1,1,수벡스정_(1정),sumatriptan succinate (as sumatriptan)
115,193201ACR,1,1,메디키넷리타드캡슐10mg(메틸페니데이트염산염)_(10mg/1캡슐),methylphenidate hydrochloride
115,193201ATB,2,2,페로스핀정10밀리그램(메틸페니데이트염산염)_(10mg/1정),methylphenidate hydrochloride
115,193202ACR,1,1,메디키넷리타드캡슐5mg(메틸페니데이트염산염)_(5mg/1캡슐),methylphenidate hydrochloride
115,193202ATB,2,2,페로스핀정5mg(메틸페니데이트염산염)_(5mg/1정),methylphenidate hydrochloride
115,193203ATR,1,1,콘서타OROS서방정18밀리그램(메틸페니데이트염산염)_(18mg/1정),methylphenidate hydrochloride
115,193204ATR,1,1,콘서타OROS서방정36밀리그램(메틸페니데이트염산염)_(36mg/1정),methylphenidate hydrochloride
115,193205ACR,1,1,메디키넷리타드캡슐20mg(메틸페니데이트염산염)_(20mg/1캡슐),methylphenidate hydrochloride
115,193206ATR,1,1,콘서타OROS서방정27밀리그램(메틸페니데이트염산염)_(27mg/1정),methylphenidate hydrochloride
115,193207ACR,1,1,메디키넷리타드캡슐30mg(메틸페니데이트염산염)_(30mg/1캡슐),methylphenidate hydrochloride
115,193208ACR,1,1,메디키넷리타드캡슐40mg(메틸페니데이트염산염)_(40mg/1캡슐),methylphenidate hydrochloride
115,193209ATR,1,1,콘서타OROS서방정54밀리그램(메틸페니데이트염산염)_(54mg/1정),methylphenidate hydrochloride
116,116301ATB,1,1,메네스정(베타히스틴메실산염)_(6mg/1정),betahistine mesilate
116,550602ATB,3,3,메네스에스정(베타히스틴염산염)_(16mg/1정),betahistine hydrochloride
116,550603ATB,1,1,유턴정24mg(베타히스틴염산염)_(24mg/1정),betahistine hydrochloride
