제품코드,제품명,업체명
055101140,가바투캡슐100밀리그램(가바펜틴)_(0.1g/1캡슐),코스맥스파마(주)
669907460,가바텐캡슐100밀리그램(가바펜틴)_(0.1g/1캡슐),대한뉴팜(주)
658107490,가바페캡슐100밀리그램(가바펜틴)_(0.1g/1캡슐),(유)한풍제약
648604030,가바렉스캡슐100mg(가바펜틴)_(0.1g/1캡슐),(주)씨엠지제약
679601320,가바원캡슐100밀리그램(가바펜틴)_(0.1g/1캡슐),(주)서흥
054800950,가바론틴캡슐100밀리그램(가바펜틴)_(0.1g/1캡슐),엔비케이제약(주)
660703470,위더펜틴캡슐100밀리그램(가바펜틴)_(0.1g/1캡슐),위더스제약(주)
622804270,뉴가틴엠캡슐100mg(가바펜틴)_(0.1g/1캡슐),(주)마더스제약
657503660,뉴벤틴캡슐100밀리그램(가바펜틴)_(0.1g/1캡슐),미래바이오제약(주)
670502180,가바프로캡슐100밀리그램(가바펜틴)_(0.1g/1캡슐),(주)보령바이오파마
060500300,메가바틴캡슐100밀리그램(가바펜틴)_(0.1g/1캡슐),(주)엘앤씨바이오
073000930,건스펜틴캡슐100밀리그램(가바펜틴)_(0.1g/1캡슐),건일바이오팜주식회사
059001210,가바케이캡슐100밀리그램(가바펜틴)_(0.1g/1캡슐),주식회사케이에스제약
642500370,동아가바펜틴캡슐100밀리그램(가바펜틴)_(0.1g/1캡슐),동아에스티(주)
643700900,네오펜틴캡슐100밀리그람(가바펜틴)_(0.1g/1캡슐),국제약품(주)
642900470,메가펜틴캡슐100밀리그램(가바펜틴)_(0.1g/1캡슐),일동제약(주)
642800030,가바틴캡슐100밀리그람(가바펜틴)_(0.1g/1캡슐),고려제약(주)
073400450,뉴론틴캡슐100밀리그램(가바펜틴)_(0.1g/1캡슐),비아트리스코리아(주)
657200060,뉴렙톨캡슐100밀리그램(가바펜틴)_(0.1g/1캡슐),환인제약(주)
643500010,가바페닌캡슐100밀리그램(가바펜틴)_(0.1g/1캡슐),한미약품(주)
653002670,파마가바펜틴캡슐100밀리그람_(0.1g/1캡슐),(주)한국파마
656003910,가바로닌캡슐100mg(가바펜틴)_(0.1g/1캡슐),알리코제약(주)
694000960,네버펜틴캡슐100밀리그램(가바펜틴)_(0.1g/1캡슐),대웅바이오(주)
657800080,뉴가바캡슐100밀리그람(가바펜틴)_(0.1g/1캡슐),하나제약(주)
693902110,뉴로가펜캡슐100밀리그램(가바펜틴)_(0.1g/1캡슐),(주)셀트리온제약
670100070,뉴로스캡슐100밀리그람(가바펜틴)_(0.1g/1캡슐),(주)팜젠사이언스
656204520,레바펜틴캡슐100밀리그램(가바펜틴)_(0.1g/1캡슐),(주)바스칸바이오제약
649502220,유니론틴캡슐100밀리그람(가바펜틴)_(0.1g/1캡슐),유니메드제약(주)
670301470,코오롱가바펜틴캡슐100밀리그램(가바펜틴)_(0.1g/1캡슐),코오롱제약(주)
651300660,뉴론텍캡슐100밀리그램(가바펜틴)_(0.1g/1캡슐),(주)새한제약
652904160,서울가바펜틴캡슐100밀리그램_(0.1g/1캡슐),(주)서울제약
658604190,가벤틴캡슐100밀리그램(가바펜틴)_(0.1g/1캡슐),이연제약(주)
657300010,가바피나캡슐(가바펜틴)_(0.3g/1캡슐),(주)동구바이오제약
642003590,현대가바펜틴캡슐300밀리그램_(0.3g/1캡슐),현대약품(주)
656700140,넬슨가바펜틴캡슐(가바펜틴)_(0.3g/1캡슐),한국넬슨제약(주)
658200090,뉴바틴캡슐(가바펜틴)_(0.3g/1캡슐),(주)비보존제약
678600860,가바티론캡슐300밀리그램(가바펜틴)_(0.3g/1캡슐),(주)다산제약
671706150,카나가바로틴캡슐300밀리그램(가바펜틴)_(0.3g/1캡슐),주식회사제뉴원사이언스
621801130,가바스탄캡슐(가바펜틴)_(0.3g/1캡슐),(주)한국파비스제약
644801930,태극가바펜틴캡슐_(0.3g/1캡슐),태극제약(주)
648602860,가바렉스캡슐300mg(가바펜틴)_(0.3g/1캡슐),(주)씨엠지제약
649102080,가바스틸캡슐300mg(가바펜틴)_(0.3g/1캡슐),한국휴텍스제약(주)
644603290,가바인캡슐300mg(가바펜틴)_(0.3g/1캡슐),조아제약(주)
693201330,가바킹캡슐300mg(가바펜틴)_(0.3g/1캡슐),(주)킵스바이오파마
625800340,가틴캡슐(가바펜틴)_(0.3g/1캡슐),메딕스제약(주)
645604580,뉴로가바캡슐(가바펜틴)_(0.3g/1캡슐),대화제약(주)
625200390,뉴펜틴캡슐300mg(가바펜틴)_(0.3g/1캡슐),(주)화이트생명과학
649601090,바론틴캡슐300밀리그람(가바펜틴)_(0.3g/1캡슐),대우제약(주)
661604550,알피가바펜틴캡슐300mg_(0.3g/1캡슐),(주)알피바이오
661904150,카바펜캡슐300밀리그램(가바펜틴)_(0.3g/1캡슐),영풍제약(주)
647205000,가비스타캡슐300밀리그램(가바펜틴)_(0.3g/1캡슐),한국코러스(주)
669502300,씨티가바캡슐300mg(가바펜틴)_(0.3g/1캡슐),(주)씨티씨바이오
628901080,이로바캡슐300mg(가바펜틴)_(0.3g/1캡슐),(주)이든파마
647303610,씨트펜틴캡슐300밀리그램(가바펜틴)_(0.3g/1캡슐),에이치엘비제약(주)
665507080,유니펜틴캡슐300밀리그램(가바펜틴)_(0.3g/1캡슐),한국유니온제약(주)
629701540,오스가바캡슐300밀리그램(가바펜틴)_(0.3g/1캡슐),(주)오스코리아제약
693902960,뉴로가펜캡슐300밀리그램(가바펜틴)_(0.3g/1캡슐),(주)셀트리온제약
055101160,가바투캡슐300밀리그램(가바펜틴)_(0.3g/1캡슐),코스맥스파마(주)
658107500,가바페캡슐300밀리그램(가바펜틴)_(0.3g/1캡슐),(유)한풍제약
679601310,가바원캡슐300밀리그램(가바펜틴)_(0.3g/1캡슐),(주)서흥
054800960,가바론틴캡슐300밀리그램(가바펜틴)_(0.3g/1캡슐),엔비케이제약(주)
660703460,위더펜틴캡슐300밀리그램(가바펜틴)_(0.3g/1캡슐),위더스제약(주)
622804260,뉴가틴엠캡슐300mg(가바펜틴)_(0.3g/1캡슐),(주)마더스제약
670502190,가바프로캡슐300밀리그램(가바펜틴)_(0.3g/1캡슐),(주)보령바이오파마
060500310,메가바틴캡슐300밀리그램(가바펜틴)_(0.3g/1캡슐),(주)엘앤씨바이오
655404340,가뉴틴캡슐300밀리그램(가바펜틴)_(0.3g/1캡슐),일성아이에스(주)
073000940,건스펜틴캡슐300밀리그램(가바펜틴)_(0.3g/1캡슐),건일바이오팜주식회사
059001220,가바케이캡슐300밀리그램(가바펜틴)_(0.3g/1캡슐),주식회사케이에스제약
646800020,건일가바펜틴캡슐300밀리그램_(0.3g/1캡슐),건일제약(주)
656204530,레바펜틴캡슐300밀리그램(가바펜틴)_(0.3g/1캡슐),(주)바스칸바이오제약
642500360,동아가바펜틴캡슐300밀리그램(가바펜틴)_(0.3g/1캡슐),동아에스티(주)
651900030,가펜틴캡슐300밀리그람(가바펜틴)_(0.3g/1캡슐),명인제약(주)
073400430,뉴론틴캡슐300밀리그램(가바펜틴)_(0.3g/1캡슐),비아트리스코리아(주)
653002660,파마가바펜틴캡슐(가바펜틴)_(0.3g/1캡슐),(주)한국파마
642800040,가바틴캡슐300밀리그람(가바펜틴)_(0.3g/1캡슐),고려제약(주)
657200070,뉴렙톨캡슐300밀리그램(가바펜틴)_(0.3g/1캡슐),환인제약(주)
647800200,뉴로카바캡슐(가바펜틴)_(0.3g/1캡슐),삼진제약(주)
642900480,메가펜틴캡슐300밀리그램(가바펜틴)_(0.3g/1캡슐),일동제약(주)
643500020,가바페닌캡슐300밀리그램(가바펜틴)_(0.3g/1캡슐),한미약품(주)
652601460,펜다운캡슐(가바펜틴)_(0.3g/1캡슐),알보젠코리아(주)
646000120,뉴로닌캡슐(가바펜틴)_(0.3g/1캡슐),(주)메디카코리아
648500010,가바론캡슐300mg(가바펜틴)_(0.3g/1캡슐),신풍제약(주)
670100060,뉴로스캡슐(가바펜틴)_(0.3g/1캡슐),(주)팜젠사이언스
649502210,유니론틴캡슐300밀리그램(가바펜틴)_(0.3g/1캡슐),유니메드제약(주)
670301480,코오롱가바펜틴캡슐300밀리그램(가바펜틴)_(0.3g/1캡슐),코오롱제약(주)
643700890,네오펜틴캡슐(가바펜틴)_(0.3g/1캡슐),국제약품(주)
643300040,가바렙캡슐300밀리그람(가바펜틴)_(0.3g/1캡슐),(주)종근당
656003900,가바로닌캡슐300mg(가바펜틴)_(0.3g/1캡슐),알리코제약(주)
648100010,가바펜캡슐(가바펜틴)_(0.3g/1캡슐),경동제약(주)
658600020,가벤틴캡슐300mg(가바펜틴)_(0.3g/1캡슐),이연제약(주)
694000140,네버펜틴캡슐300밀리그램(가바펜틴)_(0.3g/1캡슐),대웅바이오(주)
657800090,뉴가바캡슐300밀리그람(가바펜틴)_(0.3g/1캡슐),하나제약(주)
644300240,뉴로펜틴캡슐(가바펜틴)_(0.3g/1캡슐),한국유나이티드제약(주)
651300670,뉴론텍캡슐300밀리그램(가바펜틴)_(0.3g/1캡슐),(주)새한제약
652904170,서울가바펜틴캡슐300밀리그램_(0.3g/1캡슐),(주)서울제약
642500380,동아가바펜틴캡슐400밀리그램(가바펜틴)_(0.4g/1캡슐),동아에스티(주)
671706290,카나가바로틴캡슐400밀리그램(가바펜틴)_(0.4g/1캡슐),주식회사제뉴원사이언스
642800050,가바틴캡슐400밀리그람(가바펜틴)_(0.4g/1캡슐),고려제약(주)
073400420,뉴론틴캡슐400밀리그램(가바펜틴)_(0.4g/1캡슐),비아트리스코리아(주)
642505270,동아가바펜틴정600밀리그램(가바펜틴)_(0.6g/1정),동아에스티(주)
648600010,가바렉스정600밀리그램(가바펜틴)_(0.6g/1정),(주)씨엠지제약
694000150,네버펜틴정600밀리그램(가바펜틴)_(0.6g/1정),대웅바이오(주)
073400440,뉴론틴정600밀리그램(가바펜틴)_(0.6g/1정),비아트리스코리아(주)
642800010,가바틴정600밀리그램(가바펜틴)_(0.6g/1정),고려제약(주)
642500340,동아가바펜틴정800밀리그램(가바펜틴)_(0.8g/1정),동아에스티(주)
642800020,가바틴정800밀리그램(가바펜틴)_(0.8g/1정),고려제약(주)
073400400,뉴론틴정800밀리그램(가바펜틴)_(0.8g/1정),비아트리스코리아(주)
643500040,가바페닌정800밀리그램(가바펜틴)_(0.8g/1정),한미약품(주)
658600170,라모진정100밀리그람(라모트리진)_(0.1g/1정),이연제약(주)
651900220,라모스탈정100밀리그램(라모트리진)_(0.1g/1정),명인제약(주)
645300290,라비시틴정100밀리그람(라모트리진)_(0.1g/1정),한림제약(주)
642200660,라모티진정100밀리그램(라모트리진)_(0.1g/1정),부광약품(주)
650000190,라믹탈정100밀리그램(라모트리진)_(0.1g/1정),(주)글락소스미스클라인
626900260,테바라모트리진츄어블정100밀리그램_(0.1g/1정),(주)한독테바
641600450,라미아트정100밀리그램(라모트리진)_(0.1g/1정),(주)대웅제약
645300270,라비시틴정25밀리그램(라모트리진)_(25mg/1정),한림제약(주)
642202540,라모티진정25밀리그램(라모트리진)_(25mg/1정),부광약품(주)
658602590,라모진정25mg(라모트리진)_(25mg/1정),이연제약(주)
626900250,테바라모트리진츄어블정25밀리그램_(25mg/1정),(주)한독테바
650000170,라믹탈정25밀리그램(라모트리진)_(25mg/1정),(주)글락소스미스클라인
641600460,라미아트정25밀리그램(라모트리진)_(25mg/1정),(주)대웅제약
651903260,라모스탈정50밀리그램(라모트리진)_(50mg/1정),명인제약(주)
658602110,라모진정50mg(라모트리진)_(50mg/1정),이연제약(주)
645300280,라비시틴정50밀리그램(라모트리진)_(50mg/1정),한림제약(주)
642202550,라모티진정50밀리그램(라모트리진)_(50mg/1정),부광약품(주)
650000180,라믹탈정50밀리그램(라모트리진)_(50mg/1정),(주)글락소스미스클라인
626900380,테바라모트리진츄어블정50밀리그램_(50mg/1정),(주)한독테바
641600470,라미아트정50밀리그램(라모트리진)_(50mg/1정),(주)대웅제약
650000210,라믹탈츄어블정5밀리그램(라모트리진)_(5mg/1정),(주)글락소스미스클라인
653601171,트리렙탈현탁액6%(옥스카르바제핀)_(6g/100mL),한국노바티스(주)
651903880,옥사제핀정300mg(옥스카르바제핀)_(0.3g/1정),명인제약(주)
653601150,트리렙탈필름코팅정300밀리그램(옥스카르바제핀)_(0.3g/1정),한국노바티스(주)
649502180,유니렙시정(옥스카르바제핀)_(0.3g/1정),유니메드제약(주)
651904400,옥사제핀정600mg(옥스카르바제핀)_(0.6g/1정),명인제약(주)
653601160,트리렙탈필름코팅정600밀리그램(옥스카르바제핀)_(0.6g/1정),한국노바티스(주)
651904150,옥사제핀정150mg(옥스카르바제핀)_(0.15g/1정),명인제약(주)
653601140,트리렙탈필름코팅정150밀리그램(옥스카르바제핀)_(0.15g/1정),한국노바티스(주)
641601060,대웅프리미돈정_(0.25g/1정),(주)대웅제약
642201732,오르필시럽(발프로산나트륨)_(9g/150mL),부광약품(주)
642201700,오르필서방정150밀리그램(발프로산나트륨)_(0.15g/1정),부광약품(주)
647801720,에필람정(발프로산나트륨)_(0.2g/1정),삼진제약(주)
657200310,바렙톨서방정(발프로산나트륨)_(0.3g/1정),환인제약(주)
652100180,"데파킨크로노정300밀리그램_(발프로산나트륨, 0.3g/1정)",(주)한독
642201710,오르필서방정300밀리그램(발프로산나트륨)_(0.3g/1정),부광약품(주)
652100190,"데파킨크로노정500밀리그램_(발프로산나트륨, 0.5g/1정)",(주)한독
642201720,오르필서방정600밀리그램(발프로산나트륨)_(0.6g/1정),부광약품(주)
644704520,큐덱시서방캡슐100밀리그램(토피라메이트)_(0.1g/1캡슐),에스케이케미칼(주)
653404890,피트메이트정100밀리그램(토피라메이트)_(0.1g/1정),동국제약(주)
627600130,피엠에스토피라메이트정100밀리그램_(0.1g/1정),파마사이언스코리아(주)
642004610,토파린정100밀리그램(토피라메이트)_(0.1g/1정),현대약품(주)
670601230,세티정(토피라메이트)_(0.1g/1정),(주)휴온스
651902130,토파메이트정100밀리그람(토피라메이트)_(0.1g/1정),명인제약(주)
651602620,한화토피라메이트정100밀리그램_(0.1g/1정),한화제약(주)
649104320,토피맥스정100mg(토피라메이트)_(0.1g/1정),한국휴텍스제약(주)
058200370,아토맥정100밀리그램(토피라메이트)_(0.1g/1정),(주)아리제약
694002790,토피스트정100밀리그램(토피라메이트)_(0.1g/1정),대웅바이오(주)
622801850,토파원정100밀리그램(토피라메이트)_(0.1g/1정),(주)마더스제약
657200800,토피라트정100밀리그램(토피라메이트)_(0.1g/1정),환인제약(주)
646902390,토파맥스정100밀리그램(토피라메이트)_(0.1g/1정),(주)한국얀센
645301900,토피론정100밀리그램(토피라메이트)_(0.1g/1정),한림제약(주)
649803170,토파민정(토피라메이트)_(0.1g/1정),명문제약(주)
642902290,토파메드정100밀리그램(토피라메이트)_(0.1g/1정),일동제약(주)
649503080,유니토파정(토피라메이트)_(0.1g/1정),유니메드제약(주)
643502960,토피라정100밀리그램(토피라메이트)_(0.1g/1정),한미약품(주)
693901840,토파스정100밀리그램(토피라메이트)_(0.1g/1정),(주)셀트리온제약
652603780,토팜정(토피라메이트)_(0.1g/1정),알보젠코리아(주)
657805360,토맥스정100밀리그램(토피라메이트)_(0.1g/1정),하나제약(주)
644704530,큐덱시서방캡슐200밀리그램(토피라메이트)_(0.2g/1캡슐),에스케이케미칼(주)
646902280,토파맥스스프링클캡슐25밀리그램(토피라메이트)_(25mg/1캡슐),(주)한국얀센
644704540,큐덱시서방캡슐25밀리그램(토피라메이트)_(25mg/1캡슐),에스케이케미칼(주)
641803110,토피리드정25밀리그램(토피라메이트)_(25mg/1정),광동제약(주)
653404050,피트메이트정(토피라메이트)_(25mg/1정),동국제약(주)
657200790,토피라트정25밀리그램(토피라메이트)_(25mg/1정),환인제약(주)
670601240,세티정25밀리그람(토피라메이트)_(25mg/1정),(주)휴온스
627600120,피엠에스토피라메이트정25밀리그램_(25mg/1정),파마사이언스코리아(주)
643502970,토피라정25밀리그램(토피라메이트)_(25mg/1정),한미약품(주)
651902140,토파메이트정25밀리그람(토피라메이트)_(25mg/1정),명인제약(주)
651602630,한화토피라메이트정25밀리그램_(25mg/1정),한화제약(주)
654304940,토피렉스정25밀리그램(토피라메이트)_(25mg/1정),오스틴제약(주)
656004630,토피메인정25밀리그램(토피라메이트)_(25mg/1정),알리코제약(주)
649104010,토피맥스정25mg(토피라메이트)_(25mg/1정),한국휴텍스제약(주)
058200380,아토맥정25밀리그램(토피라메이트)_(25gm/1정),(주)아리제약
657807040,토맥스정25밀리그램(토피라메이트)_(25mg/1정),하나제약(주)
694002770,토피스트정25밀리그램(토피라메이트)_(25mg/1정),대웅바이오(주)
650204580,토피칸정25밀리그람(토피라메이트)_(25mg/1정),안국약품(주)
622801900,토파원정25밀리그램(토피라메이트)_(25mg/1정),(주)마더스제약
649803180,토파민정25밀리그람(토피라메이트)_(25mg/1정),명문제약(주)
645301880,토피론정25밀리그램(토피라메이트)_(25mg/1정),한림제약(주)
646902380,토파맥스정25밀리그램(토피라메이트)_(25mg/1정),(주)한국얀센
642902300,토파메드정25밀리그램(토피라메이트)_(25mg/1정),일동제약(주)
649503090,유니토파정25밀리그람(토피라메이트)_(25mg/1정),유니메드제약(주)
652604070,토팜정25밀리그람(토피라메이트)_(25mg/1정),알보젠코리아(주)
646902300,토파맥스스프링클캡슐50밀리그램(토피라메이트)_(50mg/1캡슐),(주)한국얀센
644704550,큐덱시서방캡슐50밀리그램(토피라메이트)_(50mg/1캡슐),에스케이케미칼(주)
645301890,토피론정50밀리그램(토피라메이트)_(50mg/1정),한림제약(주)
651902390,프로막정500밀리그람(발프로산마그네슘)_(0.5g/1정),명인제약(주)
651902380,프로막정200밀리그람(발프로산마그네슘)_(0.2g/1정),명인제약(주)
651903310,프로막정300밀리그램(발프로산마그네슘)_(0.3g/1정),명인제약(주)
652100480,사브릴정500밀리그람(비가바트린)_(0.5g/1정),(주)한독
642500820,엑세그란정(조니사미드)_(0.1g/1정),동아에스티(주)
664000060,세나진정,한국희귀의약품센터
654100132,케프라액(레비티라세탐)_(15g/150mL),한국유씨비제약(주)
651903893,큐팜액(레비티라세탐)_(25g/250mL),명인제약(주)
651903894,큐팜액(레비티라세탐)_(10g/100mL),명인제약(주)
642506850,케피람정500밀리그램(레비티라세탐)_(0.5g/1정),동아에스티(주)
642003150,스타레탐정500밀리그램(레비티라세탐)_(0.5g/1정),현대약품(주)
694002740,케파베아정500밀리그램(레비티라세탐)_(0.5g/1정),대웅바이오(주)
642203160,레비큐어정500밀리그램(레비티라세탐)_(0.5g/1정),부광약품(주)
642904590,티나세탐정500밀리그램(레비티라세탐)_(0.5g/1정),일동제약(주)
645304530,렙필정500밀리그램(레비티라세탐)_(0.5g/1정),한림제약(주)
693901720,레비탐정500밀리그램(레비티라세탐)_(0.5g/1정),(주)셀트리온제약
657806900,레비원정500밀리그램(레비티라세탐)_(0.5g/1정),하나제약(주)
657202420,케프렙톨정500밀리그램(레비티라세탐)_(0.5g/1정),환인제약(주)
651903800,큐팜정500밀리그램(레비티라세탐)_(0.5g/1정),명인제약(주)
642802470,레비로틴정500밀리그램(레비티라세탐)_(0.5g/1정),고려제약(주)
671706200,레비에필정500밀리그램(레비티라세탐)_(0.5g/1정),주식회사제뉴원사이언스
643506440,레비라정500밀리그램(레비티라세탐)_(0.5g/1정),한미약품(주)
647803740,에필라탐정500밀리그램(레비티라세탐)_(0.5g/1정),삼진제약(주)
654100150,케프라정500밀리그램(레비티라세탐)_(0.5g/1정),한국유씨비제약(주)
649806770,레티람정500밀리그램(레비티라세탐)_(0.5g/1정),명문제약(주)
644703930,에피스크정500밀리그램(레비티라세탐)_(0.5g/1정),에스케이케미칼(주)
647805360,에필라탐서방정500밀리그램(레비티라세탐)_(0.5g/1정),삼진제약(주)
657203430,케프렙톨서방정500밀리그램(레비티라세탐)_(0.5g/1정),환인제약(주)
651904720,큐팜엑스알서방정500밀리그램(레비티라세탐)_(0.5g/1정),명인제약(주)
654100860,케프라엑스알서방정500밀리그램(레비티라세탐)_(0.5g/1정),한국유씨비제약(주)
642506840,케피람정250밀리그램(레비티라세탐)_(0.25g/1정),동아에스티(주)
694002750,케파베아정250밀리그램(레비티라세탐)_(0.25g/1정),대웅바이오(주)
642203180,레비큐어정250밀리그램(레비티라세탐)_(0.25g/1정),부광약품(주)
