제품코드,ATC코드,ATC코드 명칭
649502210,N02BF01,gabapentin
670301480,N02BF01,gabapentin
643700890,N02BF01,gabapentin
643300040,N02BF01,gabapentin
656003900,N02BF01,gabapentin
648100010,N02BF01,gabapentin
658600020,N02BF01,gabapentin
694000140,N02BF01,gabapentin
657800090,N02BF01,gabapentin
644300240,N02BF01,gabapentin
651300670,N02BF01,gabapentin
652904170,N02BF01,gabapentin
671706290,N02BF01,gabapentin
642800050,N02BF01,gabapentin
642500380,N02BF01,gabapentin
73400420,N02BF01,gabapentin
642505270,N02BF01,gabapentin
648600010,N02BF01,gabapentin
694000150,N02BF01,gabapentin
73400440,N02BF01,gabapentin
642800010,N02BF01,gabapentin
642800020,N02BF01,gabapentin
642500340,N02BF01,gabapentin
73400400,N02BF01,gabapentin
643500040,N02BF01,gabapentin
658600170,N03AX09,lamotrigine
651900220,N03AX09,lamotrigine
645300290,N03AX09,lamotrigine
642200660,N03AX09,lamotrigine
650000190,N03AX09,lamotrigine
626900260,N03AX09,lamotrigine
641600450,N03AX09,lamotrigine
645300270,N03AX09,lamotrigine
642202540,N03AX09,lamotrigine
658602590,N03AX09,lamotrigine
626900250,N03AX09,lamotrigine
650000170,N03AX09,lamotrigine
641600460,N03AX09,lamotrigine
651903260,N03AX09,lamotrigine
658602110,N03AX09,lamotrigine
645300280,N03AX09,lamotrigine
642202550,N03AX09,lamotrigine
650000180,N03AX09,lamotrigine
626900380,N03AX09,lamotrigine
641600470,N03AX09,lamotrigine
650000210,N03AX09,lamotrigine
653601171,N03AF02,oxcarbazepine
651903880,N03AF02,oxcarbazepine
653601150,N03AF02,oxcarbazepine
649502180,N03AF02,oxcarbazepine
651904400,N03AF02,oxcarbazepine
653601160,N03AF02,oxcarbazepine
651904150,N03AF02,oxcarbazepine
653601140,N03AF02,oxcarbazepine
641601060,N03AA03,primidone
642201732,N03AG01,valproic acid
642201700,N03AG01,valproic acid
647801720,N03AG01,valproic acid
657200310,N03AG01,valproic acid
652100180,N03AG01,valproic acid
642201710,N03AG01,valproic acid
652100190,N03AG01,valproic acid
642201720,N03AG01,valproic acid
644704520,N03AX11,topiramate
653404890,N03AX11,topiramate
627600130,N03AX11,topiramate
642004610,N03AX11,topiramate
670601230,N03AX11,topiramate
651902130,N03AX11,topiramate
651602620,N03AX11,topiramate
649104320,N03AX11,topiramate
58200370,N03AX11,topiramate
641907540,N03AX11,topiramate
694002790,N03AX11,topiramate
622801850,N03AX11,topiramate
657200800,N03AX11,topiramate
646902390,N03AX11,topiramate
645301900,N03AX11,topiramate
649803170,N03AX11,topiramate
642902290,N03AX11,topiramate
649503080,N03AX11,topiramate
643502960,N03AX11,topiramate
693901840,N03AX11,topiramate
652603780,N03AX11,topiramate
657805360,N03AX11,topiramate
644704530,N03AX11,topiramate
646902280,N03AX11,topiramate
644704540,N03AX11,topiramate
641803110,N03AX11,topiramate
653404050,N03AX11,topiramate
657200790,N03AX11,topiramate
670601240,N03AX11,topiramate
642004600,N03AX11,topiramate
627600120,N03AX11,topiramate
643502970,N03AX11,topiramate
651902140,N03AX11,topiramate
651602630,N03AX11,topiramate
654304940,N03AX11,topiramate
656004630,N03AX11,topiramate
649104010,N03AX11,topiramate
58200380,N03AX11,topiramate
657807040,N03AX11,topiramate
641907550,N03AX11,topiramate
694002770,N03AX11,topiramate
649405400,N03AX11,topiramate
650204580,N03AX11,topiramate
622801900,N03AX11,topiramate
57600700,N03AX11,topiramate
649803180,N03AX11,topiramate
645301880,N03AX11,topiramate
646902380,N03AX11,topiramate
642902300,N03AX11,topiramate
649503090,N03AX11,topiramate
652604070,N03AX11,topiramate
646902300,N03AX11,topiramate
644704550,N03AX11,topiramate
645301890,N03AX11,topiramate
651902390,N03AG01,valproic acid
651902380,N03AG01,valproic acid
651903310,N03AG01,valproic acid
645300680,N03AG01,valproic acid
652100480,N03AG04,vigabatrin
642500820,N03AX15,zonisamide
654100132,N03AX14,levetiracetam
651903893,N03AX14,levetiracetam
642003150,N03AX14,levetiracetam
694002740,N03AX14,levetiracetam
642203160,N03AX14,levetiracetam
642904590,N03AX14,levetiracetam
645304530,N03AX14,levetiracetam
693901720,N03AX14,levetiracetam
657308240,N03AX14,levetiracetam
657806900,N03AX14,levetiracetam
657202420,N03AX14,levetiracetam
651903800,N03AX14,levetiracetam
642802470,N03AX14,levetiracetam
671706200,N03AX14,levetiracetam
643506440,N03AX14,levetiracetam
642506850,N03AX14,levetiracetam
647803740,N03AX14,levetiracetam
654100150,N03AX14,levetiracetam
649806770,N03AX14,levetiracetam
644703930,N03AX14,levetiracetam
647805360,N03AX14,levetiracetam
657203430,N03AX14,levetiracetam
651904720,N03AX14,levetiracetam
654100860,N03AX14,levetiracetam
694002750,N03AX14,levetiracetam
642203180,N03AX14,levetiracetam
645304540,N03AX14,levetiracetam
642904600,N03AX14,levetiracetam
693901710,N03AX14,levetiracetam
657308230,N03AX14,levetiracetam
657806890,N03AX14,levetiracetam
642802460,N03AX14,levetiracetam
671706210,N03AX14,levetiracetam
643506450,N03AX14,levetiracetam
642506840,N03AX14,levetiracetam
657202410,N03AX14,levetiracetam
651903790,N03AX14,levetiracetam
654100140,N03AX14,levetiracetam
647803720,N03AX14,levetiracetam
649806760,N03AX14,levetiracetam
644703920,N03AX14,levetiracetam
642003160,N03AX14,levetiracetam
657202430,N03AX14,levetiracetam
694002760,N03AX14,levetiracetam
642203170,N03AX14,levetiracetam
642904610,N03AX14,levetiracetam
645304520,N03AX14,levetiracetam
657308250,N03AX14,levetiracetam
657806910,N03AX14,levetiracetam
651903780,N03AX14,levetiracetam
671706220,N03AX14,levetiracetam
642802550,N03AX14,levetiracetam
643506430,N03AX14,levetiracetam
642506830,N03AX14,levetiracetam
644703950,N03AX14,levetiracetam
647803850,N03AX14,levetiracetam
654100160,N03AX14,levetiracetam
649806750,N03AX14,levetiracetam
693901730,N03AX14,levetiracetam
651904350,N03AX14,levetiracetam
643506690,N03AX14,levetiracetam
644703940,N03AX14,levetiracetam
647805300,N03AX14,levetiracetam
657203440,N03AX14,levetiracetam
651904710,N03AX14,levetiracetam
654100870,N03AX14,levetiracetam
664000220,N03AX17,stiripentol
652105330,N03AF03,rufinamide
652105320,N03AF03,rufinamide
652105310,N03AF03,rufinamide
657202960,N03AX18,lacosamide
642802970,N03AX18,lacosamide
651904450,N03AX18,lacosamide
644704450,N03AX18,lacosamide
642004040,N03AX18,lacosamide
657202970,N03AX18,lacosamide
642802960,N03AX18,lacosamide
651904460,N03AX18,lacosamide
644704420,N03AX18,lacosamide
642004050,N03AX18,lacosamide
651904550,N03AX18,lacosamide
644704430,N03AX18,lacosamide
657203000,N03AX18,lacosamide
651904540,N03AX18,lacosamide
657202990,N03AX18,lacosamide
644704440,N03AX18,lacosamide
621100251,N03AX22,perampanel
651905120,N03AX22,perampanel
657204050,N03AX22,perampanel
621100060,N03AX22,perampanel
651905150,N03AX22,perampanel
657204080,N03AX22,perampanel
621100070,N03AX22,perampanel
651905140,N03AX22,perampanel
657204040,N03AX22,perampanel
621100080,N03AX22,perampanel
651905130,N03AX22,perampanel
657204070,N03AX22,perampanel
621100100,N03AX22,perampanel
651905160,N03AX22,perampanel
657204060,N03AX22,perampanel
621100110,N03AX22,perampanel
651905170,N03AX22,perampanel
657204030,N03AX22,perampanel
621100090,N03AX22,perampanel
657203710,N03AF04,eslicarbazepine
657203720,N03AF04,eslicarbazepine
648101510,M01AB16,aceclofenac
644304150,M01AB16,aceclofenac
648101500,M01AB16,aceclofenac
649802300,M01AB16,aceclofenac
697100050,M01AB16,aceclofenac
643701580,M01AB16,aceclofenac
73001500,M01AB16,aceclofenac
684500990,M01AB16,aceclofenac
643903550,M01AB16,aceclofenac
655601230,M01AB16,aceclofenac
651201220,M01AB16,aceclofenac
649001080,M01AB16,aceclofenac
665502000,M01AB16,aceclofenac
621801920,M01AB16,aceclofenac
657202270,M01AB16,aceclofenac
652604210,M01AB16,aceclofenac
644802230,M01AB16,aceclofenac
678600670,M01AB16,aceclofenac
654700420,M01AB16,aceclofenac
661604710,M01AB16,aceclofenac
694001000,M01AB16,aceclofenac
643202500,M01AB16,aceclofenac
642802650,M01AB16,aceclofenac
645300710,M01AB16,aceclofenac
657801040,M01AB16,aceclofenac
643301260,M01AB16,aceclofenac
625500270,M01AB16,aceclofenac
647200400,M01AB16,aceclofenac
657502440,M01AB16,aceclofenac
641704880,M01AB16,aceclofenac
645202010,M01AB16,aceclofenac
674400630,M01AB16,aceclofenac
642302610,M01AB16,aceclofenac
651501060,M01AB16,aceclofenac
642702240,M01AB16,aceclofenac
654301800,M01AB16,aceclofenac
650300920,M01AB16,aceclofenac
658203010,M01AB16,aceclofenac
644703320,M01AB16,aceclofenac
658600670,M01AB16,aceclofenac
625800250,M01AB16,aceclofenac
628900120,M01AB16,aceclofenac
649404530,M01AB16,aceclofenac
698000880,M01AB16,aceclofenac
651601780,M01AB16,aceclofenac
641802300,M01AB16,aceclofenac
656701110,M01AB16,aceclofenac
665001860,M01AB16,aceclofenac
642403620,M01AB16,aceclofenac
642003290,M01AB16,aceclofenac
670400900,M01AB16,aceclofenac
644603430,M01AB16,aceclofenac
649701520,M01AB16,aceclofenac
53600020,M01AB16,aceclofenac
52400690,M01AB16,aceclofenac
689000470,M01AB16,aceclofenac
670501610,M01AB16,aceclofenac
57700060,M01AB16,aceclofenac
679601120,M01AB16,aceclofenac
623005340,M01AB16,aceclofenac
58200350,M01AB16,aceclofenac
53500180,M01AB16,aceclofenac
664102930,M01AB16,aceclofenac
57000810,M01AB16,aceclofenac
57600580,M01AB16,aceclofenac
622600420,M01AB16,aceclofenac
663803260,M01AB16,aceclofenac
59600280,M01AB16,aceclofenac
55102270,M01AB16,aceclofenac
653702340,M01AB16,aceclofenac
60500010,M01AB16,aceclofenac
73200570,M01AB16,aceclofenac
693900040,M01AB16,aceclofenac
622800200,M01AB16,aceclofenac
642502460,M01AB16,aceclofenac
654001260,M01AB16,aceclofenac
645403280,M01AB16,aceclofenac
647300800,M01AB16,aceclofenac
640900550,M01AB16,aceclofenac
662501270,M01AB16,aceclofenac
696600070,M01AB16,aceclofenac
647803710,M01AB16,aceclofenac
641601920,M01AB16,aceclofenac
663300870,M01AB16,aceclofenac
643100050,M01AB16,aceclofenac
671801920,M01AB16,aceclofenac
670601220,M01AB16,aceclofenac
644000990,M01AB16,aceclofenac
663601080,M01AB16,aceclofenac
653001330,M01AB16,aceclofenac
648203610,M01AB16,aceclofenac
664900360,M01AB16,aceclofenac
625200230,M01AB16,aceclofenac
669804090,M01AB16,aceclofenac
646201260,M01AB16,aceclofenac
669604450,M01AB16,aceclofenac
653401660,M01AB16,aceclofenac
645604400,M01AB16,aceclofenac
669902550,M01AB16,aceclofenac
650201020,M01AB16,aceclofenac
643501740,M01AB16,aceclofenac
693200160,M01AB16,aceclofenac
670101330,M01AB16,aceclofenac
648502580,M01AB16,aceclofenac
698500220,M01AB16,aceclofenac
656000830,M01AB16,aceclofenac
648601250,M01AB16,aceclofenac
649102100,M01AB16,aceclofenac
657302780,M01AB16,aceclofenac
653802100,M01AB16,aceclofenac
649601680,M01AB16,aceclofenac
660701380,M01AB16,aceclofenac
649502440,M01AB16,aceclofenac
671700970,M01AB16,aceclofenac
52700370,M01AB16,aceclofenac
661901670,M01AB16,aceclofenac
644304160,M01AB16,aceclofenac
646002430,M01AB16,aceclofenac
628800250,M01AB16,aceclofenac
53300200,M01AB16,aceclofenac
658106680,M01AB16,aceclofenac
59000440,M01AB16,aceclofenac
655404510,M01AB16,aceclofenac
659900960,M01AB16,aceclofenac
643703580,M01AB16,aceclofenac
645304510,M01AB16,aceclofenac
645905970,M01AB16,aceclofenac
654304650,M01AB16,aceclofenac
649102870,M01AB16,aceclofenac
643104100,M01AB16,aceclofenac
669906840,M01AB16,aceclofenac
656204570,M01AB16,aceclofenac
641501940,M01AB16,aceclofenac
657806220,M01AB16,aceclofenac
657307410,M01AB16,aceclofenac
650303890,M01AB16,aceclofenac
664901750,M01AB16,aceclofenac
651300680,M01AB16,aceclofenac
669805390,M01AB16,aceclofenac
653006430,M01AB16,aceclofenac
658603790,M01AB16,aceclofenac
658107280,M01AB16,aceclofenac
649605290,M01AB16,aceclofenac
622804020,M01AB16,aceclofenac
54800520,M01AB16,aceclofenac
684501650,M01AB16,aceclofenac
653805620,M01AB16,aceclofenac
663608100,M01AB16,aceclofenac
625801060,M01AB16,aceclofenac
640904060,M01AB16,aceclofenac
669502580,M01AB16,aceclofenac
696601100,M01AB16,aceclofenac
73001180,M01AB16,aceclofenac
644307820,M01AB16,aceclofenac
650203910,M01AB16,aceclofenac
671704970,M01AB16,aceclofenac
698400400,M01AB16,aceclofenac
645702601,N02BE01,paracetamol
658202841,N02BE01,paracetamol
650204491,N02BE01,paracetamol
645700891,N02BE01,paracetamol
672300253,N02BE01,paracetamol
653700510,N02BE01,paracetamol
654200520,N02BE01,paracetamol
654301440,N02BE01,paracetamol
644000780,N02BE01,paracetamol
653700520,N02BE01,paracetamol
649808140,N02BE01,paracetamol
645700860,N02BE01,paracetamol
649601610,N02BE01,paracetamol
670301810,N02BE01,paracetamol
643100290,N02BE01,paracetamol
645700870,N02BE01,paracetamol
670601430,N02BE01,paracetamol
653801880,N02BE01,paracetamol
653700830,N02BE01,paracetamol
649602220,N02BE01,paracetamol
670301820,N02BE01,paracetamol
671803310,N02BE01,paracetamol
655403770,N02BE01,paracetamol
650205710,N02BE01,paracetamol
60500030,N02BE01,paracetamol
642204320,N02BE01,paracetamol
645700880,N02BE01,paracetamol
650205720,N02BE01,paracetamol
628801440,N02BE01,paracetamol
657308190,N02BE01,paracetamol
645301160,N02BE01,paracetamol
649602230,N02BE01,paracetamol
652901880,N02BE01,paracetamol
665002340,N02BE01,paracetamol
693201820,N02BE01,paracetamol
622803650,N02BE01,paracetamol
670501910,N02BE01,paracetamol
645700850,N02BE01,paracetamol
661901710,N02BE01,paracetamol
657801970,N02BE01,paracetamol
698003380,N02BE01,paracetamol
643501510,N02BE01,paracetamol
670301800,N02BE01,paracetamol
642202200,N02BE01,paracetamol
643306670,N02BE01,paracetamol
672300240,N02BE01,paracetamol
641100070,N02BA01,acetylsalicylic acid
670303602,M01AE14,dexibuprofen
646802461,M01AE14,dexibuprofen
643500801,M01AE14,dexibuprofen
650203432,M01AE14,dexibuprofen
657306852,M01AE14,dexibuprofen
641907672,M01AE14,dexibuprofen
643500802,M01AE14,dexibuprofen
657306853,M01AE14,dexibuprofen
641907673,M01AE14,dexibuprofen
641907674,M01AE14,dexibuprofen
657306854,M01AE14,dexibuprofen
670103171,M01AE14,dexibuprofen
670303603,M01AE14,dexibuprofen
643103201,M01AE14,dexibuprofen
646802462,M01AE14,dexibuprofen
655402751,M01AE14,dexibuprofen
650302721,M01AE14,dexibuprofen
644101511,M01AE14,dexibuprofen
645702251,M01AE14,dexibuprofen
644501802,M01AE14,dexibuprofen
698502171,M01AE14,dexibuprofen
665506361,M01AE14,dexibuprofen
643500804,M01AE14,dexibuprofen
670500601,M01AE14,dexibuprofen
650203431,M01AE14,dexibuprofen
657306851,M01AE14,dexibuprofen
648104031,M01AE14,dexibuprofen
649103831,M01AE14,dexibuprofen
645208531,M01AE14,dexibuprofen
644604051,M01AE14,dexibuprofen
641907671,M01AE14,dexibuprofen
671804912,M01AE14,dexibuprofen
671804914,M01AE14,dexibuprofen
641602140,M01AE14,dexibuprofen
658200120,M01AE14,dexibuprofen
661601030,M01AE14,dexibuprofen
657304630,M01AE14,dexibuprofen
658200140,M01AE14,dexibuprofen
669907820,M01AE14,dexibuprofen
655601420,M01AE14,dexibuprofen
663602500,M01AE14,dexibuprofen
650201700,M01AE14,dexibuprofen
653800060,M01AE14,dexibuprofen
693200630,M01AE14,dexibuprofen
643100080,M01AE14,dexibuprofen
629700830,M01AE14,dexibuprofen
645604590,M01AE14,dexibuprofen
644300460,M01AE14,dexibuprofen
645900210,M01AE14,dexibuprofen
665500650,M01AE14,dexibuprofen
644800460,M01AE14,dexibuprofen
654300930,M01AE14,dexibuprofen
644102420,M01AE14,dexibuprofen
642800900,M01AE14,dexibuprofen
649401590,M01AE14,dexibuprofen
651203970,M01AE14,dexibuprofen
648201150,M01AE14,dexibuprofen
645203770,M01AE14,dexibuprofen
652901960,M01AE14,dexibuprofen
698000570,M01AE14,dexibuprofen
654005320,M01AE14,dexibuprofen
653404310,M01AE14,dexibuprofen
658107300,M01AE14,dexibuprofen
658603860,M01AE14,dexibuprofen
694003040,M01AE14,dexibuprofen
643500810,M01AE14,dexibuprofen
650201710,M01AE14,dexibuprofen
662500610,M01AE14,dexibuprofen
646200520,M01AE14,dexibuprofen
671700170,M01AE14,dexibuprofen
650301360,M01AE14,dexibuprofen
669603590,M01AE14,dexibuprofen
640901020,M01AE14,dexibuprofen
656000090,M01AE14,dexibuprofen
628900160,M01AE14,dexibuprofen
670500690,M01AE14,dexibuprofen
644603410,M01AE14,dexibuprofen
650204900,M01AE14,dexibuprofen
649100670,M01AE14,dexibuprofen
649500350,M01AE14,dexibuprofen
670100100,M01AE14,dexibuprofen
648104320,M01AE14,dexibuprofen
649700140,M01AB05,diclofenac
645901100,M01AB05,diclofenac
653800990,M01AB05,diclofenac
649702710,M01AB05,diclofenac
653801000,M01AB05,diclofenac
649802510,M01AB08,etodolac
646800140,M01AB08,etodolac
657200780,M01AB08,etodolac
646800580,M01AB08,etodolac
646800120,M01AB08,etodolac
643900913,M01AE01,ibuprofen
642902031,M01AE01,ibuprofen
643900911,M01AE01,ibuprofen
641600851,M01AE01,ibuprofen
643502184,M01AE01,ibuprofen
642902032,M01AE01,ibuprofen
670101712,M01AE01,ibuprofen
649601603,M01AE01,ibuprofen
670500591,M01AE01,ibuprofen
649601602,M01AE01,ibuprofen
643502185,M01AE01,ibuprofen
643900912,M01AE01,ibuprofen
645701041,M01AE01,ibuprofen
641602130,M01AE01,ibuprofen
647200310,M01AE01,ibuprofen
656700420,M01AE01,ibuprofen
643900470,M01AE01,ibuprofen
649808100,M01AE01,ibuprofen
670700060,M01AE01,ibuprofen
656700430,M01AE01,ibuprofen
657500190,M01AE01,ibuprofen
645600420,M01AE01,ibuprofen
654200080,M01AE01,ibuprofen
644000880,M01AE01,ibuprofen
653801580,M01AE01,ibuprofen
653700760,M01AE01,ibuprofen
662501330,M01AE01,ibuprofen
654303510,M01AE01,ibuprofen
644801570,M01AE01,ibuprofen
643900480,M01AE01,ibuprofen
643200290,M01AE01,ibuprofen
653400910,M01AB15,ketorolac
693200560,M01AE,Propionic acid derivatives
641501820,M01AE,Propionic acid derivatives
642900220,M01AE,Propionic acid derivatives
644806000,M01AE,Propionic acid derivatives
655404560,M01AE,Propionic acid derivatives
655600450,M01AE,Propionic acid derivatives
665001710,M01AE,Propionic acid derivatives
641805410,M01AE,Propionic acid derivatives
645900370,M01AE,Propionic acid derivatives
651601610,M01AE,Propionic acid derivatives
650303190,M01AE,Propionic acid derivatives
657202370,M01AE,Propionic acid derivatives
658501900,M01AE,Propionic acid derivatives
643500600,M01AE,Propionic acid derivatives
678600560,M01AE,Propionic acid derivatives
644602990,M01AE,Propionic acid derivatives
658202900,M01AE,Propionic acid derivatives
625200060,M01AE,Propionic acid derivatives
664901130,M01AE,Propionic acid derivatives
674400680,M01AE,Propionic acid derivatives
662503170,M01AE,Propionic acid derivatives
679801460,M01AE,Propionic acid derivatives
629700540,M01AE,Propionic acid derivatives
671801450,M01AE,Propionic acid derivatives
669500140,M01AE,Propionic acid derivatives
644102220,M01AE,Propionic acid derivatives
648203690,M01AE,Propionic acid derivatives
625800280,M01AE,Propionic acid derivatives
657502420,M01AE,Propionic acid derivatives
653102810,M01AE,Propionic acid derivatives
642306400,M01AE,Propionic acid derivatives
650201160,M01AE,Propionic acid derivatives
669700100,M01AE,Propionic acid derivatives
661604140,M01AE,Propionic acid derivatives
674100980,M01AE,Propionic acid derivatives
654302150,M01AE,Propionic acid derivatives
52700650,M01AE,Propionic acid derivatives
697100310,M01AE,Propionic acid derivatives
684501180,M01AE,Propionic acid derivatives
670400780,M01AE,Propionic acid derivatives
669604560,M01AE,Propionic acid derivatives
643202830,M01AE,Propionic acid derivatives
647204160,M01AE,Propionic acid derivatives
694204950,M01AE,Propionic acid derivatives
53600160,M01AE,Propionic acid derivatives
628901000,M01AE,Propionic acid derivatives
645405240,M01AE,Propionic acid derivatives
656202380,M01AE,Propionic acid derivatives
649001840,M01AE,Propionic acid derivatives
689000500,M01AE,Propionic acid derivatives
690300530,M01AE,Propionic acid derivatives
670501340,M01AE,Propionic acid derivatives
656702030,M01AE,Propionic acid derivatives
649702090,M01AE,Propionic acid derivatives
652904330,M01AE,Propionic acid derivatives
53300610,M01AE,Propionic acid derivatives
658106780,M01AE,Propionic acid derivatives
642004390,M01AE,Propionic acid derivatives
57000120,M01AE,Propionic acid derivatives
57700380,M01AE,Propionic acid derivatives
623005810,M01AE,Propionic acid derivatives
679601190,M01AE,Propionic acid derivatives
58200160,M01AE,Propionic acid derivatives
58800170,M01AE,Propionic acid derivatives
59000130,M01AE,Propionic acid derivatives
52401660,M01AE,Propionic acid derivatives
673400210,M01AE,Propionic acid derivatives
55102250,M01AE,Propionic acid derivatives
54800850,M01AE,Propionic acid derivatives
57600660,M01AE,Propionic acid derivatives
662601110,M01AE,Propionic acid derivatives
59600230,M01AE,Propionic acid derivatives
60500410,M01AE,Propionic acid derivatives
621802050,M01AE,Propionic acid derivatives
693900370,M01AE,Propionic acid derivatives
641700320,M01AE,Propionic acid derivatives
656000260,M01AE,Propionic acid derivatives
645600850,M01AE,Propionic acid derivatives
652603750,M01AE,Propionic acid derivatives
661900100,M01AE,Propionic acid derivatives
694000680,M01AE,Propionic acid derivatives
642700370,M01AE,Propionic acid derivatives
622801610,M01AE,Propionic acid derivatives
657800480,M01AE,Propionic acid derivatives
649100180,M01AE,Propionic acid derivatives
698500100,M01AE,Propionic acid derivatives
645701500,M01AE,Propionic acid derivatives
