substance_code,preferred_label_ko,preferred_label_en,atc_codes,representative_label
615132BIJ,가도테리돌,gadoteridol,V08CA04,가도테리돌
615133BIJ,가도테리돌,gadoteridol,V08CA04,가도테리돌
615131BIJ,가도테리돌,nan,V08CA04,가도테리돌
615134BIJ,가도테리돌,nan,V08CA04,가도테리돌
164202ATR,가바펜틴,gabapentin,N02BF01,가바펜틴
164204ATR,가바펜틴,gabapentin,N02BF01,가바펜틴
164201ACH,가바펜틴,nan,N02BF01,가바펜틴
164202ACH,가바펜틴,nan,N02BF01,가바펜틴
164203ACH,가바펜틴,nan,N02BF01,가바펜틴
164204ATB,가바펜틴,nan,N02BF01,가바펜틴
164205ATB,가바펜틴,nan,N02BF01,가바펜틴
164301BIJ,가벡세이트메실산염,Other antithrombotic agents,B01AX,가벡세이트메실산염
434830COS,가티플록사신수화물,gatifloxacin,S01AE06,가티플록사신수화물
164630COO,간시클로버,ganciclovir,S01AD09,간시클로버
164602BIJ,간시클로비르,nan,J05AB06,간시클로비르
385203ACR,갈란타민브롬화수소산염,galantamine,N06DA04,갈란타민브롬화수소산염
385203ATR,갈란타민브롬화수소산염,galantamine,N06DA04,갈란타민브롬화수소산염
385204ACR,갈란타민브롬화수소산염,galantamine,N06DA04,갈란타민브롬화수소산염
385204ATR,갈란타민브롬화수소산염,galantamine,N06DA04,갈란타민브롬화수소산염
385205ACR,갈란타민브롬화수소산염,galantamine,N06DA04,갈란타민브롬화수소산염
385205ATR,갈란타민브롬화수소산염,galantamine,N06DA04,갈란타민브롬화수소산염
498530BIJ,갈설파제,galsulfase,A16AB08,갈설파제
683901BIJ,"갈카네주맙, 유전자재조합",galcanezumab,N02CD02,"갈카네주맙, 유전자재조합"
169502BIJ,건조FVⅢ:C단클론항체정제사람혈액응고제VⅢ:C인자,coagulation factor VIII,B02BD02,건조FVⅢ:C단클론항체정제사람혈액응고제VⅢ:C인자
169503BIJ,건조FVⅢ:C단클론항체정제사람혈액응고제VⅢ:C인자,coagulation factor VIII,B02BD02,건조FVⅢ:C단클론항체정제사람혈액응고제VⅢ:C인자
169702BIJ,건조농축사람 혈액응고제VIII인자(건조열처리,nan,,건조농축사람 혈액응고제VIII인자(건조열처리
109301BIJ,건조농축사람항트롬빈III,nan,B01AB02,건조농축사람항트롬빈III
169703BIJ,건조농축사람혈액응고제VIII인자(건조열처리,coagulation factor VIII,B02BD02,건조농축사람혈액응고제VIII인자(건조열처리
169801BIJ,건조사람피브리노겐,"fibrinogen, human",B02BB01,건조사람피브리노겐
169601BIJ,건조사람혈액응고제IX인자복합체,coagulation factor IX,B02BD04,건조사람혈액응고제IX인자복합체
109501BIJ,건조살무사항독소,nan,,건조살무사항독소
105902ATB,건조수산화알루미늄겔,aluminium hydroxide,A02AB01,건조수산화알루미늄겔
303403ATR,건조황산제일철,ferrous sulfate,B03AA07,건조황산제일철
453001ATB,게피티니브,gefitinib,L01EB01,게피티니브
165136BIJ,겐타마이신황산염,gentamicin,J01GB03,겐타마이신황산염
155401ATB,결합형에스트로겐,conjugated estrogens,G03CA57,결합형에스트로겐
155402ATB,결합형에스트로겐,conjugated estrogens,G03CA57,결합형에스트로겐
167130BIJ,고나도렐린아세트산염,gonadorelin,V04CM01,고나도렐린아세트산염
621230BIJ,"골리무맙, 유전자재조합",golimumab,L04AB06,"골리무맙, 유전자재조합"
621231BIJ,"골리무맙, 유전자재조합",golimumab,L04AB06,"골리무맙, 유전자재조합"
621232BIJ,"골리무맙, 유전자재조합",golimumab,L04AB06,"골리무맙, 유전자재조합"
163701BIJ,과당주사액,carbohydrates,B05BA03,과당주사액
485101CLQ,과아세트산액,Technical disinfectants,V07AV,과아세트산액
368401BIJ,과테크네튬산나트륨(99mTc,technetium (99mTc) pertechnetate,V09FX01,과테크네튬산나트륨(99mTc
688001BIJ,과플루오르부탄,"perflubutane, phospholipid microspheres",V08DA06,과플루오르부탄
670901BIJ,"구셀쿠맙,유전자재조합",guselkumab,L04AC16,"구셀쿠맙,유전자재조합"
232530BIJ,구연산수펜타닐,sufentanil,N01AH03,구연산수펜타닐
232531BIJ,구연산수펜타닐,sufentanil,N01AH03,구연산수펜타닐
710501ACH,구연산제이철수화물,ferric citrate,V03AE08,구연산제이철수화물
215902ATR,구연산칼륨,Other urologicals,G04BX,구연산칼륨
158305ATC,구연산펜타닐,fentanyl,N02AB03,구연산펜타닐
158306ATC,구연산펜타닐,fentanyl,N02AB03,구연산펜타닐
158307ATC,구연산펜타닐,fentanyl,N02AB03,구연산펜타닐
158308ATC,구연산펜타닐,fentanyl,N02AB03,구연산펜타닐
158330BIJ,구연산펜타닐,fentanyl,N01AH01,구연산펜타닐
158331BIJ,구연산펜타닐,fentanyl,N01AH01,구연산펜타닐
158332BIJ,구연산펜타닐,fentanyl,N01AH01,구연산펜타닐
158333BIJ,구연산펜타닐,fentanyl,N01AH01,구연산펜타닐
459701AGN,구형흡착탄,Antidotes,V03AB,구형흡착탄
459701ATD,구형흡착탄,Antidotes,V03AB,구형흡착탄
459702ACH,구형흡착탄,Antidotes,V03AB,구형흡착탄
187201ASS,규산알루민산마그네슘,almasilate,A02AD05,규산알루민산마그네슘
187203ATB,규산알루민산마그네슘,almasilate,A02AD05,규산알루민산마그네슘
505701CPC,그라니세트론,granisetron,A04AA02,그라니세트론
167301ATB,그라니세트론염산염,nan,A04AA02,그라니세트론염산염
167330BIJ,그라니세트론염산염,nan,A04AA02,그라니세트론염산염
167331BIJ,그라니세트론염산염,nan,A04AA02,그라니세트론염산염
429131BIJ,글라티라머아세트산염,glatiramer acetate,L03AX13,글라티라머아세트산염
228902ACH,글루콘산제이철나트륨착염,"Iron trivalent, oral preparations",B03AB,글루콘산제이철나트륨착염
131304CLQ,글루콘산클로르헥시딘액,chlorhexidine,D08AC02,글루콘산클로르헥시딘액
131309CDS,글루콘산클로르헥시딘액,chlorhexidine,D08AC02,글루콘산클로르헥시딘액
131332CLQ,글루콘산클로르헥시딘액,chlorhexidine,R02AA05,글루콘산클로르헥시딘액
393501CLQ,글루타랄콘센트레이트,Technical disinfectants,V07AV,글루타랄콘센트레이트
165701ATB,글리메피리드,glimepiride,A10BB12,글리메피리드
165703ATB,글리메피리드,glimepiride,A10BB12,글리메피리드
165702ATB,글리메피리드,nan,A10BB12,글리메피리드
165704ATB,글리메피리드,nan,A10BB12,글리메피리드
474300ATB,"글리메피리드, 메트포르민염산염",nan,A10BD02,"글리메피리드, 메트포르민염산염"
165402ATB,글리벤클라미드,glibenclamide,A10BB01,글리벤클라미드
169936BIJ,글리신 첨가 사람면역글로불린[pH4.8],"immunoglobulins, normal human, for intravascular adm.",J06BA02,글리신 첨가 사람면역글로불린[pH4.8]
169937BIJ,글리신 첨가 사람면역글로불린[pH4.8],"immunoglobulins, normal human, for intravascular adm.",J06BA02,글리신 첨가 사람면역글로불린[pH4.8]
169939BIJ,글리신 첨가 사람면역글로불린[pH4.8],"immunoglobulins, normal human, for intravascular adm.",J06BA02,글리신 첨가 사람면역글로불린[pH4.8]
169935BIJ,글리신 첨가 사람면역글로불린[pH4.8],nan,J06BA02,글리신 첨가 사람면역글로불린[pH4.8]
169938BIJ,글리신 첨가 사람면역글로불린[pH4.8],nan,J06BA02,글리신 첨가 사람면역글로불린[pH4.8]
169941BIJ,글리신첨가사람면역글로불린(pH4.9,nan,,글리신첨가사람면역글로불린(pH4.9
169942BIJ,글리신첨가사람면역글로불린(pH4.9,nan,,글리신첨가사람면역글로불린(pH4.9
167030BIJ,글리코피롤레이트,glycopyrronium bromide,A03AB02,글리코피롤레이트
165603ATR,글리클라지드,gliclazide,A10BB09,글리클라지드
165604ATR,글리클라지드,gliclazide,A10BB09,글리클라지드
165602ATB,글리클라짓,gliclazide,A10BB09,글리클라짓
165801ATB,글리피지드,glipizide,A10BB07,글리피지드
687801ATB,길테리티닙푸마르산염,gilteritinib,L01EX13,길테리티닙푸마르산염
666002BIJ,나노리포좀이리노테칸,irinotecan,L01CE02,나노리포좀이리노테칸
198301ATB,나도롤,nadolol,C07AA12,나도롤
415501ATD,나라트립탄염산염,nan,N02CC02,나라트립탄염산염
415501ATB,나라트립탄염산염,naratriptan,N02CC02,나라트립탄염산염
198102ATB,나부메톤,nan,M01AX01,나부메톤
520830COS,나타마이신,natamycin,S01AA10,나타마이신
622530BIJ,나탈리주맙,natalizumab,L04AG03,나탈리주맙
430202ATB,나테글리니드,nateglinide,A10BX03,나테글리니드
430203ATB,나테글리니드,nateglinide,A10BX03,나테글리니드
461501BIJ,나파모스타트메실산염,Other antithrombotic agents,B01AX,나파모스타트메실산염
461502BIJ,나파모스타트메실산염,Other antithrombotic agents,B01AX,나파모스타트메실산염
198601ACH,나프로닐옥살산염,naftidrofuryl,C04AX21,나프로닐옥살산염
198601ATB,나프로닐옥살산염,naftidrofuryl,C04AX21,나프로닐옥살산염
199401ATR,나프록센,naproxen,M01AE02,나프록센
199404ATB,나프록센,naproxen,M01AE02,나프록센
518000ATB,"나프록센, 에스오메프라졸",nan,M01AE52,"나프록센, 에스오메프라졸"
199501ATB,나프록센나트륨,nan,M01AE02,나프록센나트륨
360801BIJ,나프실린나트륨,nafcillin,J01CF06,나프실린나트륨
478801ATB,나프타존,naftazone,C05CX02,나프타존
614201ATB,나프토피딜,Alpha-adrenoreceptor antagonists,G04CA,나프토피딜
614202ATB,나프토피딜,Alpha-adrenoreceptor antagonists,G04CA,나프토피딜
614203ATB,나프토피딜,nan,G04CA,나프토피딜
198731CCM,나프티핀염산염,naftifine,D01AE22,나프티핀염산염
198732CCM,나프티핀염산염,naftifine,D01AE22,나프티핀염산염
199131BIJ,날록손염산염,naloxone,V03AB15,날록손염산염
198930BIJ,날부핀염산염,nalbuphine,N02AF02,날부핀염산염
199201ATB,날트렉손염산염,naltrexone,N07BB04,날트렉손염산염
199202ATB,날트렉손염산염,nan,N07BB04,날트렉손염산염
728100ATB,"네비보롤,로수바스타틴",Lipid modifying agents in combination with other drugs,C10BX,"네비보롤,로수바스타틴"
683000ATB,"네비보롤,로수바스타틴",nan,C10BX,"네비보롤,로수바스타틴"
683200ATB,"네비보롤,로수바스타틴",nan,C10BX,"네비보롤,로수바스타틴"
691200ATB,"네비보롤,로수바스타틴",nan,C10BX,"네비보롤,로수바스타틴"
489501ATB,네비보롤염산염,nebivolol,C07AB12,네비보롤염산염
489502ATB,네비보롤염산염,nebivolol,C07AB12,네비보롤염산염
489503ATB,네비보롤염산염,nebivolol,C07AB12,네비보롤염산염
736101COS,네타르수딜메실산염,nan,,네타르수딜메실산염
200730BIJ,네틸마이신황산염,netilmicin,J01GB07,네틸마이신황산염
200731BIJ,네틸마이신황산염,netilmicin,J01GB07,네틸마이신황산염
200732BIJ,네틸마이신황산염,netilmicin,J01GB07,네틸마이신황산염
200733BIJ,네틸마이신황산염,netilmicin,J01GB07,네틸마이신황산염
203131BIJ,노르에피네프린타르타르산염수화물,norepinephrine,C01CA03,노르에피네프린타르타르산염수화물
203132BIJ,노르에피네프린타르타르산염수화물,norepinephrine,C01CA03,노르에피네프린타르타르산염수화물
203133BIJ,노르에피네프린타르타르산염수화물,norepinephrine,C01CA03,노르에피네프린타르타르산염수화물
668101BIJ,뉴시너센나트륨,nan,,뉴시너센나트륨
678901ATB,니라파립토실산염일수화물,nan,,니라파립토실산염일수화물
678901ACH,니라파립토실산염일수화물,niraparib,L01XK02,니라파립토실산염일수화물
703500ATB,"니르마트렐비르, 리토나비르",nan,,"니르마트렐비르, 리토나비르"
201801ATB,니메술리드,nimesulide,M01AX17,니메술리드
201901ATB,니모디핀,nimodipine,C08CA06,니모디핀
638401BIJ,"니볼루맙,유전자재조합",nan,,"니볼루맙,유전자재조합"
638402BIJ,"니볼루맙,유전자재조합",nan,,"니볼루맙,유전자재조합"
638403BIJ,"니볼루맙,유전자재조합",nan,,"니볼루맙,유전자재조합"
201201ATB,니세르골린,nan,C04AE02,니세르골린
201203ATB,니세르골린,nan,C04AE02,니세르골린
201204ATB,니세르골린,nicergoline,C04AE02,니세르골린
202701ACH,니자티딘,nan,A02BA04,니자티딘
202701ATB,니자티딘,nizatidine,A02BA04,니자티딘
202704ATB,니자티딘,nizatidine,A02BA04,니자티딘
201030BIJ,니카르디핀염산염,nicardipine,C08CA04,니카르디핀염산염
201031BIJ,니카르디핀염산염,nicardipine,C08CA04,니카르디핀염산염
201033BIJ,니카르디핀염산염,nicardipine,C08CA04,니카르디핀염산염
201301ATB,니코란딜,nicorandil,C01DX16,니코란딜
201302BIJ,니코란딜,nicorandil,C01DX16,니코란딜
202632BIJ,니트로글리세린,glyceryl trinitrate,C01DA02,니트로글리세린
229330BIJ,니트로푸루시드나트륨,nitroprusside,C02DD01,니트로푸루시드나트륨
201402ATR,니페디핀,nan,,니페디핀
201405ATR,니페디핀,nifedipine,C08CA05,니페디핀
201409ATR,니페디핀,nifedipine,C08CA05,니페디핀
528201ATR,니페디핀,nifedipine,C08CA05,니페디핀
202330COS,니프라딜롤,Beta blocking agents,S01ED,니프라딜롤
656101ACS,닌테다닙에실산염,nan,,닌테다닙에실산염
656101ATB,닌테다닙에실산염,nan,,닌테다닙에실산염
656102ACS,닌테다닙에실산염,nan,,닌테다닙에실산염
656102ATB,닌테다닙에실산염,nan,,닌테다닙에실산염
562601ACH,닐로티닙염산염일수화물,nilotinib,L01EA03,닐로티닙염산염일수화물
562602ACH,닐로티닙염산염일수화물,nilotinib,L01EA03,닐로티닙염산염일수화물
667101BIJ,다라투무맙,daratumumab,L01FC01,다라투무맙
667102BIJ,다라투무맙,daratumumab,L01FC01,다라투무맙
498702ATB,다루나비르에탄올레이트,darunavir,J05AE10,다루나비르에탄올레이트
498703ATB,다루나비르에탄올레이트,darunavir,J05AE10,다루나비르에탄올레이트
455735BIJ,"다베포에틴알파,유전자재조합",darbepoetin alfa,B03XA02,"다베포에틴알파,유전자재조합"
455736BIJ,"다베포에틴알파,유전자재조합",darbepoetin alfa,B03XA02,"다베포에틴알파,유전자재조합"
455737BIJ,"다베포에틴알파,유전자재조합",darbepoetin alfa,B03XA02,"다베포에틴알파,유전자재조합"
455738BIJ,"다베포에틴알파,유전자재조합",darbepoetin alfa,B03XA02,"다베포에틴알파,유전자재조합"
455739BIJ,"다베포에틴알파,유전자재조합",darbepoetin alfa,B03XA02,"다베포에틴알파,유전자재조합"
663101ACH,다브라페닙메실산염,dabrafenib,L01EC02,다브라페닙메실산염
663102ACH,다브라페닙메실산염,dabrafenib,L01EC02,다브라페닙메실산염
613701ACH,다비가트란에텍실레이트메실산염,dabigatran etexilate,B01AE07,다비가트란에텍실레이트메실산염
613702ACH,다비가트란에텍실레이트메실산염,dabigatran etexilate,B01AE07,다비가트란에텍실레이트메실산염
493301ATB,다사티닙,dasatinib,L01EA02,다사티닙
493302ATB,다사티닙,dasatinib,L01EA02,다사티닙
493304ATB,다사티닙,dasatinib,L01EA02,다사티닙
493305ATB,다사티닙,dasatinib,L01EA02,다사티닙
140601BIJ,다우노루비신염산염,daunorubicin,L01DB02,다우노루비신염산염
139901BIJ,다카르바진,dacarbazine,L01AX04,다카르바진
139902BIJ,다카르바진,dacarbazine,L01AX04,다카르바진
691601ATB,다코미티닙수화물,dacomitinib,L01EB07,다코미티닙수화물
691602ATB,다코미티닙수화물,dacomitinib,L01EB07,다코미티닙수화물
691603ATB,다코미티닙수화물,dacomitinib,L01EB07,다코미티닙수화물
693201ATB,다파글리플로진,dapagliflozin,A10BK01,다파글리플로진
693202ATB,다파글리플로진,dapagliflozin,A10BK01,다파글리플로진
719700ATB,"다파글리플로진, 글리메피리드",Combinations of oral blood glucose lowering drugs,A10BD,"다파글리플로진, 글리메피리드"
718500ATR,"다파글리플로진, 메트포르민",nan,A10BD15,"다파글리플로진, 메트포르민"
719100ATR,"다파글리플로진,메트포르민",metformin and dapagliflozin,A10BD15,"다파글리플로진,메트포르민"
719200ATR,"다파글리플로진,메트포르민",metformin and dapagliflozin,A10BD15,"다파글리플로진,메트포르민"
706900ATB,"다파글리플로진,시타글립틴",nan,A10BD29,"다파글리플로진,시타글립틴"
723000ATB,"다파글리플로진,시타글립틴",sitagliptin and dapagliflozin,A10BD29,"다파글리플로진,시타글립틴"
723500ATB,"다파글리플로진,시타글립틴",sitagliptin and dapagliflozin,A10BD29,"다파글리플로진,시타글립틴"
722200ATR,"다파글리플로진,시타글립틴,메트포르민",nan,A10BD,"다파글리플로진,시타글립틴,메트포르민"
722300ATR,"다파글리플로진,시타글립틴,메트포르민",nan,A10BD,"다파글리플로진,시타글립틴,메트포르민"
739900ATR,"다파글리플로진,시타글립틴,메트포르민",nan,,"다파글리플로진,시타글립틴,메트포르민"
724700ATB,"다파글리플로진,피오글리타존",Combinations of oral blood glucose lowering drugs,A10BD,"다파글리플로진,피오글리타존"
724800ATB,"다파글리플로진,피오글리타존",Combinations of oral blood glucose lowering drugs,A10BD,"다파글리플로진,피오글리타존"
693402ATB,다파글리플로진무수유당혼합물,dapagliflozin,A10BK01,다파글리플로진무수유당혼합물
693302ATB,다파글리플로진비스L-프롤린,dapagliflozin,A10BK01,다파글리플로진비스L-프롤린
693301ATB,다파글리플로진비스L-프롤린,nan,A10BK01,다파글리플로진비스L-프롤린
693501ATB,다파글리플로진시트르산,dapagliflozin,A10BK01,다파글리플로진시트르산
693502ATB,다파글리플로진시트르산,dapagliflozin,A10BK01,다파글리플로진시트르산
723900ATB,"다파글리플로진시트르산, 시타글립틴염산염수화물",sitagliptin and dapagliflozin,A10BD29,"다파글리플로진시트르산, 시타글립틴염산염수화물"
712901ATB,다파글리플로진포르메이트,dapagliflozin,A10BK01,다파글리플로진포르메이트
712902ATB,다파글리플로진포르메이트,dapagliflozin,A10BK01,다파글리플로진포르메이트
527301ATB,다파글리플로진프로판디올수화물,dapagliflozin,A10BK01,다파글리플로진프로판디올수화물
527302ATB,다파글리플로진프로판디올수화물,nan,A10BK01,다파글리플로진프로판디올수화물
732600ATB,"다파글리플로진프로판디올수화물,리나글립틴",Combinations of oral blood glucose lowering drugs,A10BD,"다파글리플로진프로판디올수화물,리나글립틴"
639800ATR,"다파글리플로진프로판디올수화물,메트포르민염산염",nan,A10BD15,"다파글리플로진프로판디올수화물,메트포르민염산염"
641400ATR,"다파글리플로진프로판디올수화물,메트포르민염산염",nan,A10BD15,"다파글리플로진프로판디올수화물,메트포르민염산염"
140403BIJ,단트롤렌나트륨,nan,M03CA01,단트롤렌나트륨
140401ACH,단트롤렌나트륨수화물,dantrolene,M03CA01,단트롤렌나트륨수화물
251201ACS,달맞이꽃종자유,gamolenic acid,D11AX02,달맞이꽃종자유
251202ACS,달맞이꽃종자유,gamolenic acid,D11AX02,달맞이꽃종자유
140230BIJ,달테파린나트륨,dalteparin,B01AB04,달테파린나트륨
140231BIJ,달테파린나트륨,dalteparin,B01AB04,달테파린나트륨
140232BIJ,달테파린나트륨,dalteparin,B01AB04,달테파린나트륨
140233BIJ,달테파린나트륨,dalteparin,B01AB04,달테파린나트륨
140234BIJ,달테파린나트륨,dalteparin,B01AB04,달테파린나트륨
567104BIJ,답토마이신,daptomycin,J01XX09,답토마이신
567105BIJ,답토마이신,daptomycin,J01XX09,답토마이신
676901BIJ,더발루맙,durvalumab,L01FF03,더발루맙
676902BIJ,더발루맙,durvalumab,L01FF03,더발루맙
624401BIJ,데가렐릭스,degarelix,L02BX02,데가렐릭스
624402BIJ,데가렐릭스,degarelix,L02BX02,데가렐릭스
629001BIJ,데노수맙,nan,,데노수맙
629002BIJ,데노수맙,nan,,데노수맙
629003BIJ,데노수맙,nan,,데노수맙
141533CCM,데소나이드,desonide,D07AB08,데소나이드
141535CLT,데소나이드,desonide,D07AB08,데소나이드
141537CLT,데소나이드,desonide,D07AB08,데소나이드
141542CCM,데소나이드,desonide,D07AB08,데소나이드
141531CCM,데소나이드,nan,D07AB08,데소나이드
141540CLT,데소나이드,nan,D07AB08,데소나이드
141543CLT,데소니드,desonide,D07AB08,데소니드
141631CCM,데속시메타손,desoximetasone,D07AC03,데속시메타손
141632CCM,데속시메타손,desoximetasone,D07AC03,데속시메타손
141633CLT,데속시메타손,desoximetasone,D07AC03,데속시메타손
141634CLT,데속시메타손,desoximetasone,D07AC03,데속시메타손
141634COM,데속시메타손,desoximetasone,D07AC03,데속시메타손
141635COM,데속시메타손,desoximetasone,D07AC03,데속시메타손
141636CCM,데속시메타손,nan,,데속시메타손
551501ATB,데스로라타딘(미분화,nan,,데스로라타딘(미분화
141401ATB,데스모프레신아세트산염,desmopressin,H01BA02,데스모프레신아세트산염
141401ATD,데스모프레신아세트산염,desmopressin,H01BA02,데스모프레신아세트산염
141404ATB,데스모프레신아세트산염,desmopressin,H01BA02,데스모프레신아세트산염
141404ATD,데스모프레신아세트산염,desmopressin,H01BA02,데스모프레신아세트산염
141407ATL,데스모프레신아세트산염,desmopressin,H01BA02,데스모프레신아세트산염
141408ATL,데스모프레신아세트산염,desmopressin,H01BA02,데스모프레신아세트산염
141409ATL,데스모프레신아세트산염,desmopressin,H01BA02,데스모프레신아세트산염
141410ATL,데스모프레신아세트산염,desmopressin,H01BA02,데스모프레신아세트산염
141411ATL,데스모프레신아세트산염,desmopressin,H01BA02,데스모프레신아세트산염
141430BIJ,데스모프레신아세트산염,desmopressin,H01BA02,데스모프레신아세트산염
141401APD,데스모프레신아세트산염,nan,,데스모프레신아세트산염
141404APD,데스모프레신아세트산염,nan,,데스모프레신아세트산염
687701ATR,데스벤라팍신,desvenlafaxine,N06AX23,데스벤라팍신
687702ATR,데스벤라팍신,desvenlafaxine,N06AX23,데스벤라팍신
687703ATR,데스벤라팍신,desvenlafaxine,N06AX23,데스벤라팍신
687601ATR,데스벤라팍신벤조산염,desvenlafaxine,N06AX23,데스벤라팍신벤조산염
687602ATR,데스벤라팍신벤조산염,desvenlafaxine,N06AX23,데스벤라팍신벤조산염
687603ATR,데스벤라팍신벤조산염,nan,,데스벤라팍신벤조산염
626401ATR,데스벤라팍신숙신산염일수화물,nan,N06AX23,데스벤라팍신숙신산염일수화물
626402ATR,데스벤라팍신숙신산염일수화물,nan,N06AX23,데스벤라팍신숙신산염일수화물
141330CLQ,데스플루란,nan,,데스플루란
495601BIJ,데시타빈,decitabine,L01BC08,데시타빈
495602BIJ,데시타빈,decitabine,L01BC08,데시타빈
486001ATD,데페라시록스,deferasirox,V03AC03,데페라시록스
486002ATD,데페라시록스,deferasirox,V03AC03,데페라시록스
486003ATD,데페라시록스,deferasirox,V03AC03,데페라시록스
486004ATB,데페라시록스,deferasirox,V03AC03,데페라시록스
486005ATB,데페라시록스,deferasirox,V03AC03,데페라시록스
486006ATB,데페라시록스,deferasirox,V03AC03,데페라시록스
486007ASS,데페라시록스,deferasirox,V03AC03,데페라시록스
486009APD,데페라시록스,deferasirox,V03AC03,데페라시록스
486010ASS,데페라시록스,deferasirox,V03AC03,데페라시록스
140801ATB,데프라자코르트,deflazacort,H02AB13,데프라자코르트
650501BIJ,데피브로타이드,defibrotide,B01AX01,데피브로타이드
141904ATB,덱사메타손,dexamethasone,H02AB02,덱사메타손
141906CIM,덱사메타손,dexamethasone,S01BA01,덱사메타손
141930COO,덱사메타손,dexamethasone,S01BA01,덱사메타손
141931COS,덱사메타손,dexamethasone,S01BA01,덱사메타손
142231COO,덱사메타손인산나트륨,dexamethasone,S01BA01,덱사메타손인산나트륨
142230BIJ,덱사메타손포스페이트이나트륨,dexamethasone,H02AB02,덱사메타손포스페이트이나트륨
142232BIJ,덱사메타손포스페이트이나트륨,dexamethasone,H02AB02,덱사메타손포스페이트이나트륨
142131CCM,덱사메타손프로피오네이트,dexamethasone,D07AB19,덱사메타손프로피오네이트
142501BIJ,덱스라족산,nan,,덱스라족산
621901ACR,덱스란소프라졸,dexlansoprazole,A02BC06,덱스란소프라졸
621902ACR,덱스란소프라졸,dexlansoprazole,A02BC06,덱스란소프라졸
454330BIJ,덱스케토프로펜트로메타몰,dexketoprofen,M01AE17,덱스케토프로펜트로메타몰
142430BIJ,덱스판테놀,dexpanthenol,A11HA30,덱스판테놀
142301ACS,덱시부프로펜,dexibuprofen,M01AE14,덱시부프로펜
